,T0,T1,T2,T3
p3 FM6 flower 1,59.25925925925926,80.64516129032258,59.45945945945946,
p3 FM6 flower 2,78.78787878787878,62.16216216216216,66.66666666666667,
p3 FM6 flower 3,,86.66666666666667,73.52941176470588,39.39393939393939
