,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5851,0.0,50.0,0.0,0.5261
split 1,0.0,50.0,0.0,0.5922,0.0,50.0,0.0,0.4685
split 2,0.0,50.0,0.0,0.6039,0.0,50.0,0.0,0.4553
split 3,0.0,50.0,0.0,0.5761,0.0,50.0,0.0,0.5256
split 4,0.0,50.0,0.0,0.5958,0.0,50.0,0.0,0.4588
split 5,0.0,50.0,0.0,0.596,0.0,50.0,0.0,0.4737
mean,0.0,50.0,0.0,0.5915,0.0,50.0,0.0,0.4847
std,0.0,0.0,0.0,0.0088,0.0,0.0,0.0,0.0297
test mean,0.0,50.0,0.0,0.5752368918738063,0.0,49.99999999999999,0.0,0.4697994571917212
test std,0.0,1.5888218580782548e-14,0.0,0.05193943656707915,0.0,1.8115356374411762e-14,0.0,0.07073524633421051
