,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5313,0.0,50.0,0.0,0.5104
split 1,0.0,50.0,0.0,0.529,0.0,50.0,0.0,0.513
split 2,0.0,50.0,0.0,0.5697,0.0,50.0,0.0,0.491
split 3,0.0,50.0,0.0,0.5408,0.0,50.0,0.0,0.5115
split 4,0.0,50.0,0.0,0.5246,0.0,50.0,0.0,0.4512
split 5,0.0,50.0,0.0,0.5384,0.0,50.0,0.0,0.4276
mean,0.0,50.0,0.0,0.539,0.0,50.0,0.0,0.4841
std,0.0,0.0,0.0,0.0148,0.0,0.0,0.0,0.0332
test mean,0.0,50.0,0.0,0.5138523845208358,0.0,49.999999999999986,0.0,0.48619798865232944
test std,0.0,1.363836858469928e-14,0.0,0.07851501932039875,0.0,1.8115356374411762e-14,0.0,0.06788150546912841
