,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.6048,0.0,50.0,0.0,0.5526
split 1,0.0,50.0,0.0,0.5984,0.0,50.0,0.0,0.5369
split 2,0.0,50.0,0.0,0.6172,0.0,50.0,0.0,0.4784
split 3,0.0,50.0,0.0,0.595,0.0,50.0,0.0,0.547
split 4,0.0,50.0,0.0,0.6052,0.0,50.0,0.0,0.4819
split 5,0.0,50.0,0.0,0.6067,0.0,50.0,0.0,0.5107
mean,0.0,50.0,0.0,0.6045,0.0,50.0,0.0,0.5179
std,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0298
test mean,0.0,50.0,0.0,0.5881612704270854,0.0,49.99999999999999,0.0,0.4771760144364585
test std,0.0,1.5888218580782548e-14,0.0,0.05705401668941031,0.0,1.8115356374411762e-14,0.0,0.06747757118270069
