,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,17.93,3.79,0.0,50.0,33.61,25.53,43.12,0.0,33.46,0.479,16.67,0.0,0.0,50.0,33.33,11.11,0.0,0.0,33.33,0.4539
split 1,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5515,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5482
split 2,32.58,3.9,47.41,46.42,39.34,37.66,32.62,36.99,43.36,0.5647,28.28,6.08,43.93,34.82,33.87,36.49,42.57,34.37,32.53,0.4793
split 3,31.27,3.64,46.99,43.18,38.07,39.77,42.45,36.51,40.35,0.5347,30.42,12.15,43.35,35.76,34.39,33.71,31.12,33.87,36.14,0.4967
split 4,16.67,0.0,0.0,50.0,33.33,11.11,0.0,0.0,33.33,0.5285,16.67,0.0,0.0,50.0,33.33,11.11,0.0,0.0,33.33,0.488
split 5,31.15,3.79,46.7,42.96,37.82,37.87,37.19,36.42,40.01,0.5354,28.85,0.0,43.59,42.96,36.07,24.08,0.0,35.45,36.78,0.508
mean,24.38,10.85,23.52,38.76,35.92,27.17,31.45,18.32,31.75,0.5323,22.92,11.37,21.81,35.59,34.05,21.27,17.84,17.28,28.68,0.4957
std,7.32,17.56,23.52,17.56,2.54,12.26,14.63,18.32,14.67,0.0268,6.29,17.84,21.81,17.01,0.98,10.83,18.18,17.29,12.92,0.0288
