,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.736,50.15,16.7,0.58884,0.39,50.054,13.668000000000001,0.48807999999999996
split 1,0.42800000000000005,50.086,16.508000000000003,0.5764400000000001,1.5,50.326,17.142,0.5506400000000001
split 2,0.8300000000000001,50.164,16.228,0.5825,0.0,50.0,0.0,0.52166
split 3,0.712,50.146,16.631999999999998,0.58482,0.438,50.064,14.0,0.49802
split 4,0.716,50.14,16.148,0.58544,0.0,50.0,0.0,0.47085999999999995
split 5,0.0,50.0,0.0,0.58792,0.0,50.0,0.0,0.5101
mean,0.5700000000000001,50.114,13.702000000000002,0.5843,0.388,50.074,7.468000000000001,0.50656
std,0.284,0.05600000000000001,6.132,0.008960000000000001,0.53,0.11599999999999999,7.55,0.03948
test mean,1.2825654775026625,0.25693007068945783,30.20186288888789,0.012861039409545303,1.3452897722901824,0.2817009559292066,21.619237529268666,0.039869187529791905
test std,1.0541988251215797,0.26425180197468817,8.294870052728356,0.07060626681345812,0.6866835463831764,0.1948916650644439,5.229973521871866,0.0648926662773886
std testing,2.1083976502431594,0.5285036039493459,16.589740105456713,0.010185498810019771,1.3733670927663528,0.38978333012885424,10.459947043743732,0.026114785271161015
