,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,29.81,48.88,0.0,40.55,38.09,26.26,36.11,0.0,42.68,0.5985,22.27,47.13,0.0,19.66,32.31,20.58,33.08,0.0,28.65,0.5327
split 1,22.87,50.46,5.02,13.14,35.27,44.19,34.28,50.95,47.35,0.5924,16.97,48.06,0.0,2.86,31.81,21.76,32.29,0.0,33.0,0.5328
split 2,28.21,49.54,1.68,33.42,37.21,54.01,35.09,81.88,45.06,0.6007,26.14,46.47,0.0,31.94,34.33,23.16,33.86,0.0,35.61,0.5398
split 3,25.04,49.67,3.4,22.05,35.61,46.06,34.23,59.42,44.53,0.5871,25.26,47.9,1.97,25.9,34.54,44.23,33.68,61.24,37.78,0.556
split 4,30.75,49.2,4.73,38.31,38.2,49.14,36.14,69.11,42.18,0.5968,31.34,42.83,10.83,40.35,35.9,41.36,35.94,53.69,34.45,0.539
split 5,19.12,49.95,5.04,2.36,33.97,45.58,33.51,53.29,49.95,0.5993,17.95,49.39,4.45,0.0,32.95,24.97,33.18,41.72,0.0,0.4758
mean,25.97,49.62,3.31,24.97,36.39,44.21,34.89,52.44,45.29,0.5958,23.32,46.96,2.88,20.12,33.64,29.34,33.67,26.11,28.25,0.5294
std,4.08,0.51,1.9,13.85,1.56,8.64,0.98,25.65,2.68,0.0047,4.94,2.05,3.9,14.64,1.41,9.64,1.13,26.72,12.94,0.0252
test mean,22.514695792559788,49.414157400468035,0.1867413632119516,17.943188613999364,34.79244643047447,25.175935179695525,34.00786529892909,4.761904761904762,36.75803547825272,0.5848565716271568,19.240020953114076,49.544161251046006,0.0,8.175901608296213,33.47021518609996,17.309179548712706,33.57661352488738,0.0,18.350925121250736,0.5461702430021403
test std,5.8459130517916185,3.8960441084017376,0.8351327647058046,15.975467789643416,4.689296070684504,12.523038602509375,2.8231044766159474,21.295885499998004,25.605038493713046,0.07292599150183317,3.648410777772543,2.0667867373360616,0.0,9.867798211447088,2.186242870835425,7.477131462299308,1.6801311626128506,0.0,21.50872628004866,0.04033835619120829
