plant,time point,cell,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
P1,0,332,6.0,0.2211712254755926,0.13441000519091748,0.00012090318753188536,0.003494109177743051,3.6625354088411895e-06,0.003405336048328209,0.05807807324109789,0.06210624257139087,0.04147177827172177,0.003494109177743051,2089.357765533053,46.0,229.57218872317492,0.21904761904761907,4.380952380952381,0.07393884689698198,0.02266878220127923
P1,0,340,5.0,0.16159562781693007,0.14248367416403807,0.0001110105322123241,0.0,1.3531990628698021e-05,0.0028357431722822127,0.05171667979774048,0.04429641100389024,0.026892660479267576,0.0,2199.0158555848334,37.0,182.96238626306547,0.27205882352941174,4.352941176470588,0.05567689669655422,0.025471399214625615
P1,0,346,6.0,0.18382273133475502,0.11542987594343847,0.00011837912915925859,0.019595104735483645,8.250888230871923e-06,0.00295170138586932,0.0573572866030097,0.053812344590340636,0.040004081765496864,0.019595104735483645,2244.068871871364,44.0,219.93953893083602,0.23157894736842108,4.4,0.07149655384820318,0.022293089571399943
P1,0,351,7.0,0.22394746732880974,0.10336150081957148,0.00012172133814636111,0.022299088722279772,5.61273605984973e-06,0.003454058640328089,0.06078670305242529,0.059233306328081395,0.03369879219056011,0.022299088722279772,2149.5095219480177,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,0.0709240446558437,0.02666592273047105
P1,0,369,7.0,0.19060022735236626,0.08710828772134949,0.00012198115848073478,0.11131986023563288,0.000620892283130551,0.0031576335298857494,0.06342015087540832,0.07490130519768336,0.10942233346521311,0.11131986023563288,2397.6360484375687,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,0.06769063932916418,0.018529485831532678
P1,0,372,6.0,0.16063612353224546,0.09640839621301582,0.00011109015304502118,0.010886169297490913,0.00036235955522888937,0.002756326312861699,0.058564634314122,0.05979635321335421,0.0684136482767873,0.010886169297490913,2375.254208800506,46.0,229.52171396291158,0.21904761904761907,4.380952380952381,0.061561315098775604,0.018447831908340234
P1,0,376,6.0,0.22534861662664152,0.1365216300132668,0.00012039678514200724,0.00872649377556933,4.119819122439053e-06,0.0034392757011558,0.056607985517735784,0.055324822556439654,0.02711228621689096,0.00872649377556933,2045.3833489798646,42.0,209.17227338057185,0.2456140350877193,4.421052631578948,0.07331114916090829,0.025932448413663937
P1,0,389,6.0,0.18602397178387087,0.11954112156492372,0.00011732934517902354,0.022386880410162766,1.979737895088249e-05,0.0030043911240766855,0.05634213415683399,0.04839250352141999,0.0330060559404928,0.022386880410162766,2210.9205128758417,40.0,203.22772408422665,0.26143790849673204,4.444444444444445,0.06657270819954512,0.027246768193000776
P1,0,390,7.0,0.1710475539593417,0.07782579225968622,0.00011268320504054794,0.13368918230821905,3.672770680766801e-05,0.0031175977128512886,0.061551108684743304,0.06020612790607749,0.06519893712878294,0.13368918230821905,2531.6079979187134,45.0,228.89397809526307,0.23684210526315788,4.5,0.05636422495194398,0.018982045996804912
P1,0,398,6.0,0.20057449518882622,0.12474539162314827,0.00011785607657662642,0.0028268923498323177,1.2439330300493563e-05,0.0031938699485556006,0.0562635923509507,0.04846690114066585,0.025153340688792696,0.0028268923498323177,2124.7960278560668,40.0,204.48888468582044,0.26143790849673204,4.444444444444445,0.06413482599641998,0.026500537242764265
P1,0,413,5.0,0.14847015572367578,0.13267887413828044,0.00010768602338675835,1.7558337576598247e-05,2.7438975835470017e-05,0.002671108193986054,0.05142011293639865,0.04145799374127673,0.023854433833515414,1.7558337576598247e-05,2264.1857822945667,35.0,172.199369365089,0.2916666666666667,4.375,0.051321691032254625,0.025619035098114855
P1,0,422,6.0,0.1676692950297064,0.10110940613910371,0.0001124278958546076,0.1359893245307534,3.1734679969875705e-05,0.0029059754161223587,0.058511566428203536,0.056329186908175156,0.07658875309397747,0.1359893245307534,2390.681412381556,46.0,232.8890809370117,0.21904761904761907,4.380952380952381,0.06082193517260337,0.0171737419742689
P1,0,429,6.0,0.18759509298353147,0.11542702257978034,0.00011588129594334746,0.03522202517865608,3.273248128766139e-06,0.002991818956940837,0.05848320653013057,0.05550276022069989,0.04896308881486648,0.03522202517865608,2131.4423186178906,49.0,250.90524199836793,0.2121212121212121,4.454545454545454,0.07311285633234263,0.01972902323177927
P1,0,431,5.0,0.1560160503640658,0.14204816682703983,0.00010913376485565606,0.0,0.0013613465915972536,0.0026824410149022667,0.051137669179172694,0.04031261068313879,0.022477603025977174,0.0,2087.5080024603376,35.0,172.15091589098006,0.2916666666666667,4.375,0.05973266197021027,0.02817963088578724
P1,0,438,6.0,0.1751950409184287,0.10901338497123546,0.00011353127543526382,0.05251698769160536,0.0005414183870745542,0.0030185181710007457,0.056930409375839194,0.05512981355031633,0.04722338532203311,0.05251698769160536,2306.3948956913932,42.0,210.48826866193085,0.2456140350877193,4.421052631578948,0.06179358807703875,0.021671799554329584
P1,0,441,6.0,0.17756851826379574,0.1106842407930743,0.00011538297198661037,0.07588713500605762,0.0005415962792554323,0.0030102968819288537,0.056426239340001134,0.053193299740682716,0.04719571119478748,0.07588713500605762,2291.280641347552,40.0,200.8695677538577,0.26143790849673204,4.444444444444445,0.06152750339633391,0.02346197631970092
P1,0,442,6.0,0.16192572614005124,0.10152544748448113,0.00011296950625931395,0.08888030481274033,0.00014842389265313274,0.00286227539790401,0.05744057547496367,0.0555786301662507,0.054164875586354445,0.08888030481274033,2404.935076258198,44.0,219.98623238976288,0.23157894736842108,4.4,0.06206105047549348,0.01996573042986448
P1,0,443,5.0,0.12904504775234435,0.11885867594833732,0.00010468509675118667,0.00021070005091917895,4.1404030889162495e-06,0.002276602138906802,0.05479648209078577,0.04300501305930398,0.034679740568934275,0.00021070005091917895,2226.771338418028,47.0,238.61466443609373,0.20346320346320346,4.2727272727272725,0.06339304036480142,0.01637241824277733
P1,0,444,7.0,0.16678303267665676,0.07680785864526554,0.00011032056398296278,0.10696539251663652,1.532854931073094e-05,0.0029489775906782817,0.06315355346174381,0.05778228693787843,0.06916511791007103,0.10696539251663652,2402.1914882643623,49.0,254.7274862717628,0.2121212121212121,4.454545454545454,0.05996875564705455,0.015766279863047582
P1,0,447,5.0,0.15930772466755425,0.13958572722336274,0.0001144534839903153,0.0,0.0002038432347331272,0.002715246687319948,0.05280691898298615,0.050518661242618376,0.044954787244359015,0.0,2235.2155637939704,41.0,203.1212706638311,0.23976608187134504,4.315789473684211,0.0634291342874731,0.02247395008656113
P1,0,448,7.0,0.1858080070941814,0.08519637054962836,0.00012032717159984967,0.06879356662511193,0.0002808023930314452,0.0031555787510973185,0.06281774015832066,0.07154857185641993,0.09266628953745391,0.06879356662511193,2419.70788628653,49.0,248.00105911776626,0.2121212121212121,4.454545454545454,0.06713592823239414,0.019180807041634707
P1,0,449,6.0,0.13825435395954955,0.08782693016035147,0.00010550105907417816,0.0940600143978368,1.6513134205020838e-05,0.0026607223273455768,0.05692266090816454,0.04921195927263852,0.05064678954576243,0.0940600143978368,2483.3248051006453,42.0,209.1722733805715,0.2456140350877193,4.421052631578948,0.053858359991052776,0.01966210609208416
P1,0,457,6.0,0.18172240116713212,0.1123648405420969,0.00011965430564419,0.0550980633153653,0.00013164164130599601,0.003021216928717499,0.05770295516395046,0.061188493026095934,0.06633693598295537,0.0550980633153653,2321.2992760120865,44.0,221.05015553104698,0.23157894736842108,4.4,0.06657760745226458,0.02230568318725782
P1,0,461,6.0,0.15762430681096568,0.10027439822117558,0.00011639931725334735,0.08745807946903587,0.00011888197371017395,0.0026633075513314178,0.058881694995568896,0.05718701997408746,0.07146530171231555,0.08745807946903587,2379.3977152069738,49.0,252.10172984464313,0.2121212121212121,4.454545454545454,0.0680832002554442,0.01831671528341356
P1,0,462,7.0,0.19126740730693073,0.08883186030319055,0.00012243998022217888,0.07428932628658719,8.441690681031217e-05,0.0032078692706702956,0.06265707473227142,0.07257889245543257,0.10131102970748487,0.07428932628658719,2436.516469192709,47.0,238.40981696043048,0.22380952380952382,4.476190476190476,0.0652810159245498,0.019796144625903025
P1,0,465,5.0,0.14399405865959702,0.13154332782862324,0.00010846025745897867,0.005899601425737011,7.769149112095659e-05,0.002514099533709706,0.05309191591432907,0.04333040698058984,0.03460438878727414,0.005899601425737011,2193.781042770175,41.0,205.37927493003485,0.23976608187134504,4.315789473684211,0.05989372841765075,0.020028758837156532
P1,0,466,7.0,0.21146331892592923,0.0942795209957193,0.0001229388028433101,0.05788983899004442,6.389599093023309e-05,0.0034269516610038863,0.06196629680981077,0.06790362825806867,0.06939526978621154,0.05788983899004442,2316.1717032930324,45.0,232.42915867274974,0.23684210526315788,4.5,0.06657447964129748,0.02290010654085372
P1,0,467,6.0,0.17487524580820066,0.10654565539223462,0.00011926576454361253,0.07353431777079346,2.2763292800013055e-05,0.002943329955220041,0.05818787513348054,0.06229786764084545,0.07806603975243862,0.07353431777079346,2368.802348169914,46.0,230.71963395658358,0.21904761904761907,4.380952380952381,0.06729704240399222,0.019832036357666734
P1,0,471,7.0,0.17574251638877153,0.08307013450571485,0.00011744434130849654,0.05890822256948712,1.2942775703477038e-05,0.0030752402308615308,0.06175303232636305,0.06252849035671515,0.06825548501740664,0.05890822256948712,2458.7679527713194,45.0,228.82412495051827,0.23684210526315788,4.5,0.06134151965584512,0.021473574415805594
P1,0,498,6.0,0.21324356773890013,0.12695035173649008,0.00012072854940585463,0.002423050585570558,9.406434865949517e-06,0.0033330545698561534,0.05667298332167127,0.055609462347030306,0.029636572177351297,0.002423050585570558,2056.43907002448,43.0,219.62706589230936,0.25146198830409355,4.526315789473684,0.06998937833113537,0.025482724904962874
P1,0,499,7.0,0.20517613463694986,0.09401050457928839,0.00011752051738489614,0.02765438168314224,2.755267953992709e-05,0.0033779285723994595,0.06154790864427954,0.06044126412456203,0.04783379969478644,0.02765438168314224,2178.358416586785,43.0,222.92247268906698,0.25146198830409355,4.526315789473684,0.0641824154511575,0.025822339127324144
P1,0,502,7.0,0.20243759149878127,0.09128416671998545,0.00012295871605879743,0.07750250206310466,1.3654127610882302e-05,0.0033303846859001063,0.06291177048220037,0.07279517212805006,0.09436085760520131,0.07750250206310466,2404.9844809216793,49.0,248.0010591177666,0.2121212121212121,4.454545454545454,0.06857220167001957,0.019587482603507025
P1,0,507,7.0,0.19568448058213359,0.08986059151906207,0.00011551602910741938,0.07079521710884414,9.939513453542342e-07,0.003167761418234848,0.06273125437755588,0.060721174130549636,0.05568341917734484,0.07079521710884414,2239.5557852761567,49.0,249.316594441129,0.2121212121212121,4.454545454545454,0.06990544370422225,0.020148876825008807
P1,0,515,7.0,0.1775943637961781,0.08402466518570019,0.000116618572790184,0.05825856407915298,8.036382452155358e-06,0.002956240979326902,0.06338174484127673,0.06378204161525401,0.07379895505032345,0.05825856407915298,2370.38585536737,49.0,249.19740794941342,0.2121212121212121,4.454545454545454,0.06836845215741892,0.018365040095109836
P1,0,518,6.0,0.16128800445746125,0.10126663420087799,0.0001105006979209865,0.024757255983003528,0.00012858323102662663,0.0028034409010052825,0.058458022484410496,0.056739973643104354,0.05741811062253428,0.024757255983003528,2347.476282272145,46.0,231.88245920044216,0.21904761904761907,4.380952380952381,0.06135001819187909,0.018275727291771064
P1,0,546,5.0,0.16274192624624356,0.14615052664368963,0.00010522800560192752,0.0,1.014732785870264e-06,0.002760273899683597,0.051217162326237915,0.03550082439397824,0.01598066925753527,0.0,2012.3682342598017,35.0,173.58783161530076,0.2916666666666667,4.375,0.058148798382917824,0.029456281005887285
P1,0,548,7.0,0.2276232747509465,0.09810055766832884,0.00012039087787393879,0.0590311309325233,2.819729511524658e-06,0.0036239286708936234,0.06327279065439931,0.07246594543335685,0.0677989612422515,0.0590311309325233,2218.41710245736,49.0,249.19755320117156,0.2121212121212121,4.454545454545454,0.07054201766079808,0.019573768448254168
P1,0,559,6.0,0.18860780860755694,0.11276336337155081,0.00011899623081116732,0.006654609941530736,1.6615200007239018e-05,0.003082380021420069,0.05814768030343009,0.06037139929485374,0.05931599529240529,0.006654609941530736,2304.7032080215895,46.0,231.77773000606885,0.21904761904761907,4.380952380952381,0.06772427884623637,0.018920149330732043
P1,0,569,5.0,0.1500576812881269,0.1390201124028865,0.00010959234316552352,0.0004565167769915544,0.0011002750429918472,0.0025779793330724153,0.05166560024097294,0.041268503676183475,0.02636291249982496,0.0004565167769915544,2156.7062767419015,37.0,182.8631811503478,0.27205882352941174,4.352941176470588,0.06192320288519291,0.02535672882664085
P1,0,570,6.0,0.18083240597313519,0.11374501506289604,0.00011941847715552644,0.023914455779326813,1.4284841315447956e-05,0.002937746825950694,0.05760100333089312,0.05766389380943978,0.05152387714027818,0.023914455779326813,2245.3436659803588,44.0,218.74954731526415,0.23157894736842108,4.4,0.07077285621654666,0.022981440857104452
P1,0,571,6.0,0.15293248344453897,0.09860057541350797,0.00011075046110506469,0.03476550840166453,2.263468471034966e-06,0.0025752189302809384,0.05628649271139917,0.042402850591419114,0.027251281116721114,0.03476550840166453,2212.3006395620364,40.0,199.6446038529734,0.26143790849673204,4.444444444444445,0.06333779414099247,0.026148361151719545
P1,0,574,6.0,0.1768833485584443,0.11336717736554056,0.0001159207284454615,0.02742612329464646,3.4447645613035234e-06,0.0028191182660553776,0.057058087480166414,0.047694111726735336,0.030366794609879327,0.02742612329464646,2182.1403707397976,44.0,219.89767135165442,0.23157894736842108,4.4,0.07143361273588314,0.02322826461095464
P1,0,580,7.0,0.16186746960817888,0.07635135678561501,0.00011377035650878604,0.12531385528418168,4.154402866392636e-05,0.00295715471626224,0.06217929047699629,0.06272791770105138,0.08065646115424772,0.12531385528418168,2552.97769051442,47.0,237.21655796015887,0.22380952380952382,4.476190476190476,0.059777300331743465,0.01927868840670014
P1,0,583,5.0,0.1411785122054917,0.1330339615888591,0.00010718357549449137,0.0027566589995259246,1.1699726668371807e-06,0.0023787227880451753,0.05170909133835542,0.03604421093921223,0.01863583341346573,0.0027566589995259246,2080.9477150278394,37.0,181.6362060504833,0.27205882352941174,4.352941176470588,0.06221504294171458,0.027256888746371454
P1,0,587,7.0,0.19722410336517457,0.09015469979655505,0.00012149465171936023,0.1132161606939055,0.0005262973397222241,0.0032710486431004613,0.06201765687484189,0.06952511589010012,0.0882074459042155,0.1132161606939055,2364.3259433968983,45.0,228.82412495051943,0.23684210526315788,4.5,0.0649866183902165,0.022101872660756354
P1,0,589,6.0,0.17974803009593274,0.11460719687010444,0.00011489041040929385,0.013045844819412497,1.310451604202697e-05,0.002935486422685959,0.05652660320166092,0.04834129301932418,0.032203614349839586,0.013045844819412497,2255.608209632137,40.0,201.93823967382917,0.26143790849673204,4.444444444444445,0.062048474409635485,0.022779720602457004
P1,0,600,7.0,0.1961396859103481,0.08671534001916173,0.00012088573115217824,0.1152178111776377,0.0002026307879842433,0.0032696501365344992,0.06338949558930469,0.07320552710941518,0.09337766067231162,0.1152178111776377,2379.4790598197546,49.0,251.40765546535076,0.2121212121212121,4.454545454545454,0.06513276774291005,0.01762268546021433
P1,0,601,6.0,0.21985948747118447,0.13087645775674356,0.00011943770052249979,0.0024406089231471563,2.5250027535325166e-06,0.0034152883366751533,0.05643348521173622,0.055336101719229785,0.028374888726320605,0.0024406089231471563,2018.4523681264473,40.0,198.45127719772515,0.26143790849673204,4.444444444444445,0.06863990072545774,0.027658288420976028
P1,0,602,6.0,0.17227203652818426,0.1029808201181574,0.0001147593346885863,0.013888645023089213,2.0591225691646686e-05,0.003088117297652366,0.05703400828172075,0.05812116328876231,0.050348398059486,0.013888645023089213,2340.4428733366667,42.0,210.36258180535373,0.2456140350877193,4.421052631578948,0.057117730838111884,0.019654635778012762
P1,0,605,8.0,0.19769965151937488,0.06905635463684974,0.0001228343320214256,0.1781644513897424,6.857189150260605e-05,0.003296245769756055,0.06932175185820355,0.08605039223591854,0.14359365658545353,0.1781644513897424,2569.3283418941664,56.0,288.4843630209938,0.18666666666666668,4.48,0.06735123628674416,0.01590104145694258
P1,0,610,5.0,0.13382918897939497,0.12054210822248432,0.00010596191218742326,0.00038628342668516145,1.1428588749392146e-05,0.0025051754197673837,0.052086936879647626,0.04155313818150574,0.026971203639355762,0.00038628342668516145,2326.7916008195634,39.0,192.3511938760105,0.2549019607843137,4.333333333333333,0.0555489403491733,0.021210761719406022
P1,0,612,6.0,0.21451361967067512,0.130352691710161,0.00011403039450254275,0.0024932839358769512,1.4312685653681647e-06,0.0033479623856871314,0.056355636139338146,0.05046311917338176,0.02745344306001359,0.0024932839358769512,1935.711237337317,40.0,199.76591396241884,0.26143790849673204,4.444444444444445,0.06661435840825608,0.02644350324041564
P1,0,617,6.0,0.17290098262796363,0.10863952926284165,0.00011620788984974151,0.006250768177268976,4.991685579544183e-05,0.0028809467274085983,0.05777476942746575,0.0544300801793415,0.04353597323995803,0.006250768177268976,2225.955525487072,44.0,219.94314519430748,0.23157894736842108,4.4,0.0672544844416569,0.021675964811570938
P1,0,618,6.0,0.1863324582882367,0.11242507623125465,0.00012090808870109287,0.027900198409214615,4.235032159621764e-05,0.0030509235576636805,0.05809048321957884,0.062485094605218734,0.06768623879395046,0.027900198409214615,2315.6682629371326,47.0,240.0230168905087,0.22380952380952382,4.476190476190476,0.069274595964118,0.020866828684284175
P1,0,619,5.0,0.1475133391296726,0.13151791539726065,0.0001097780140472279,0.0,1.4891913340244242e-05,0.0025196821169623726,0.05306788111549071,0.04424131805807952,0.037984806874060195,0.0,2274.089118891959,41.0,204.0919291895592,0.23976608187134504,4.315789473684211,0.061946618738407074,0.020417693414900066
P1,0,620,7.0,0.17831061085987732,0.07929441206177248,0.00011645498987372358,0.08801994627148702,0.00038768553972557914,0.0029829827546740888,0.06505040669277123,0.07739886387785319,0.11221664586312584,0.08801994627148702,2448.392122972627,55.0,280.3266491701062,0.18333333333333335,4.4,0.06679198674362505,0.014417617415718054
P1,0,632,6.0,0.19013305393662452,0.11505375635014597,0.00011171921811599447,0.006057626463926395,6.498412402533736e-07,0.003050430170366048,0.05719150590644887,0.049915946741092364,0.029151972598563027,0.006057626463926395,2065.8238777636457,44.0,220.03801563278023,0.23157894736842108,4.4,0.06766589889152452,0.023230974019360636
P1,0,635,6.0,0.21378724002031638,0.12757493508520065,0.00011940073326546316,0.0039681842923112035,1.9047414275360363e-06,0.00334051471933767,0.05814759895566909,0.06101118456593745,0.04446832235553417,0.0039681842923112035,2063.0795665322576,46.0,230.81793844479975,0.21904761904761907,4.380952380952381,0.07059322152984364,0.021615257193917457
P1,0,646,4.0,0.13750009291824578,0.2072718392348271,0.0001045404303573862,0.0,9.156242240673177e-06,0.0023316586468712535,0.046921843155857665,0.028665632240593864,0.010190530667230425,0.0,1927.6475026085327,34.0,168.7434794908117,0.2833333333333333,4.25,0.06302938645248576,0.029473693654217564
P1,0,647,6.0,0.1755655978925095,0.10937416833635254,0.00011617322301664886,0.013906203360665812,1.4701176294924064e-05,0.002895371439487568,0.057950888621841806,0.052801773844650804,0.03956046415814161,0.013906203360665812,2192.8981531138156,47.0,241.21839118856172,0.22380952380952382,4.476190476190476,0.06872018981414747,0.019689110638809654
P1,0,653,5.0,0.15568402717924046,0.13501106471245466,0.00010591109105752802,0.0,0.0001182912255885752,0.002795722650003709,0.051642136158249495,0.04253751040970413,0.024571166881271457,0.0,2209.868140760425,37.0,182.91421865833888,0.27205882352941174,4.352941176470588,0.05361233682865767,0.024433552693054125
P1,0,662,6.0,0.19582030716816662,0.12275084154556246,0.00011677084601095051,0.011079311010833493,6.359244974321645e-06,0.0031097654757025793,0.05648961743158792,0.05083137916006054,0.029863596212018218,0.011079311010833493,2181.3129781208095,40.0,199.6446038529731,0.26143790849673204,4.444444444444445,0.06732179907355008,0.02667507936259597
P1,0,666,7.0,0.21459278442498422,0.09596391602573054,0.00011938197713652916,0.01761101258932804,8.184739080278496e-06,0.003454511699046103,0.06183236717837336,0.0613536405037921,0.04352676436850308,0.01761101258932804,2145.3662932313923,45.0,232.43055712907338,0.23684210526315788,4.5,0.06779330193258741,0.02393713291291097
P1,0,667,7.0,0.19633627197485531,0.08866310593988491,0.00011987884063092408,0.0440363106421084,8.53906548712877e-06,0.003168492436826002,0.06208709148973427,0.06047286145612357,0.04710175174435215,0.0440363106421084,2244.6920017758584,48.0,248.98122207710557,0.22857142857142856,4.571428571428571,0.06752029670957617,0.021375828602486546
P1,0,669,6.0,0.2001443120048862,0.12075622166422918,0.00011607814039211708,0.0018963004582726107,2.123119607479576e-05,0.0032702652118426433,0.05643438941144498,0.05020582648132411,0.02744167936546151,0.0018963004582726107,2083.998682355277,40.0,204.41431935614355,0.26143790849673204,4.444444444444445,0.06445941591558325,0.027325385054511223
P1,0,683,7.0,0.2010899168442159,0.0907103041854589,0.00012151516057705577,0.05695924709848471,3.219406380312968e-05,0.003254034081888451,0.06277512778988947,0.06482409557320061,0.061431109941282154,0.05695924709848471,2311.6022365844506,49.0,252.8627241689707,0.2121212121212121,4.454545454545454,0.06954064994513126,0.020169837813907906
