,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,43.31,47.94,39.25,42.75,43.9,45.15,40.01,46.65,48.81,0.6352,29.1,36.28,35.78,15.26,31.41,31.14,31.58,31.5,30.34,0.5003
split 1,43.7,48.71,40.99,41.4,44.34,45.76,40.44,46.59,50.25,0.6275,30.67,42.68,24.97,24.37,32.98,34.63,33.36,43.55,26.98,0.5286
split 2,46.16,48.49,45.15,44.85,46.34,47.13,42.78,51.82,46.8,0.6436,31.69,42.03,28.17,24.86,33.86,35.01,32.59,34.03,38.4,0.5224
split 3,43.39,47.33,44.71,38.13,44.03,45.77,39.26,48.37,49.68,0.6252,29.96,46.94,17.26,25.67,34.35,33.81,35.36,34.81,31.27,0.5329
split 4,41.92,49.89,36.62,39.24,43.25,44.97,40.07,49.54,45.29,0.6328,32.31,40.25,26.86,29.82,33.72,35.27,31.73,32.28,41.81,0.4825
split 5,43.05,48.72,43.16,37.27,43.87,45.1,40.31,48.17,46.81,0.6344,33.77,28.86,31.7,40.76,34.33,34.07,33.62,32.45,36.14,0.4945
mean,43.59,48.51,41.65,40.61,44.29,45.65,40.48,48.52,47.94,0.6331,31.25,39.5,27.46,26.79,33.44,33.99,33.04,34.77,34.16,0.5102
std,1.28,0.79,3.04,2.66,0.97,0.73,1.09,1.79,1.77,0.0059,1.54,5.72,5.75,7.62,1.02,1.37,1.28,4.08,5.08,0.0188
test mean,38.249454352269886,46.29913006773406,33.92831883673446,34.52091415234115,41.1156991337946,44.68080974724341,38.202581824103,50.00613318315312,45.83371423447411,0.6234782920664713,31.83290730566905,44.5610193732785,18.710387602892684,32.22731494083597,35.71986716301651,38.74865259218777,34.455440113588736,42.15073901903005,39.63977864394453,0.5375682933245902
test std,6.798743642449792,7.854431640203622,13.188429231037427,13.736414608741715,5.780692155576925,7.142900916260796,5.8453248056814076,14.035611461739947,12.145580649409267,0.04533575742301411,2.330744453704735,3.129670011316615,6.143391617970445,9.486377404444296,2.2992800984264896,8.503730674861313,2.4705516364322984,23.35546761456779,6.477114379102993,0.014198075679617018
