,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5208,0.0,50.0,0.0,0.5208
split 1,0.0,50.0,0.0,0.4816,0.0,50.0,0.0,0.469
split 2,0.0,50.0,0.0,0.5373,0.0,50.0,0.0,0.4623
split 3,0.0,50.0,0.0,0.479,0.0,50.0,0.0,0.4856
split 4,0.0,50.0,0.0,0.4835,0.0,50.0,0.0,0.4408
split 5,0.0,50.0,0.0,0.487,0.0,50.0,0.0,0.4189
mean,0.0,50.0,0.0,0.4982,0.0,50.0,0.0,0.4662
std,0.0,0.0,0.0,0.0224,0.0,0.0,0.0,0.0323
test mean,0.0,50.0,0.0,0.48153138835082127,0.0,50.0,0.0,0.49110334646034215
test std,0.0,1.8078648421039906e-14,0.0,0.07411494644835909,0.0,1.5280799322856756e-14,0.0,0.05857564773711499
