,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,63.29,64.52,68.9,56.44,63.36,63.27,62.94,68.86,58.01,0.8004,55.95,58.82,59.36,49.66,55.95,56.1,61.71,56.93,49.65,0.7325
split 1,61.64,62.88,66.33,55.73,61.67,61.63,63.1,65.72,56.05,0.7846,65.43,67.54,69.86,58.89,65.45,65.48,69.47,68.11,58.85,0.8147
split 2,62.09,63.88,68.73,53.65,62.18,62.03,62.69,68.36,55.05,0.7937,57.46,56.87,60.68,54.82,57.32,58.01,56.02,66.17,51.83,0.7355
split 3,61.27,62.52,65.9,55.41,61.36,61.24,61.83,64.9,56.98,0.7878,61.92,65.24,67.37,53.16,61.87,62.06,63.68,69.75,52.75,0.8013
split 4,61.4,63.02,66.29,54.89,61.39,61.41,62.41,66.86,54.96,0.7795,60.19,58.4,67.09,55.09,60.32,60.22,56.88,65.57,58.22,0.7746
split 5,60.82,62.91,65.89,53.67,60.86,60.79,63.16,65.07,54.15,0.785,61.6,62.7,68.21,53.89,61.99,61.79,60.81,64.46,60.1,0.7769
mean,61.75,63.29,67.01,54.96,61.8,61.73,62.69,66.63,55.87,0.7885,60.42,61.6,65.43,54.25,60.48,60.61,61.43,65.17,55.23,0.7726
std,0.79,0.69,1.29,1.03,0.8,0.79,0.46,1.54,1.31,0.0068,3.1,3.88,3.94,2.74,3.15,3.01,4.48,4.07,3.97,0.0306
test mean,59.25250812122484,61.77373600819756,62.708560413180216,53.275227942296745,59.99663509912555,60.59481451632618,61.81744737587325,62.99465483672699,56.972341336378335,0.7795263551500736,53.438067776191346,55.41316975706641,62.00192023289621,42.8991133386114,56.156624690899164,57.822161337726364,57.26309180487107,61.12379848640347,55.07959372190456,0.7521217606330313
test std,9.36600734435161,12.619084169819045,14.440535716217328,8.543062885368002,8.86414842145571,8.505226885808021,11.139105711082419,11.07370301719774,10.453514269230133,0.07111958668769143,8.001123271341173,20.272254732412996,9.537366504262282,10.362008229371177,6.424288059843581,7.607141553794231,5.222815910091679,7.819042720088311,18.12181126317194,0.060056809574138455
