,F1,Acc,precision,Auc
train tissue 0,0.0,49.999999999999986,0.0,0.43780788177339885
train tissue 1,0.0,49.99999999999997,0.0,0.5456323337679265
train tissue 2,0.0,49.999999999999986,0.0,0.3824786324786324
train tissue 3,0.0,50.000000000000014,0.0,0.5526315789473686
train tissue 4,0.0,50.00000000000002,0.0,0.5557142857142857
train tissue 5,0.0,50.000000000000014,0.0,0.49690402476780204
train tissue 6,0.0,50.00000000000002,0.0,0.5357142857142858
train tissue 7,0.0,50.000000000000014,0.0,0.5124732715609407
train tissue 8,0.0,49.999999999999986,0.0,0.5729166666666663
train tissue 9,0.0,49.999999999999986,0.0,0.448135593220339
train tissue 10,0.0,49.999999999999986,0.0,0.4935587761674718
train tissue 11,0.0,50.0,0.0,0.5458409228901032
train tissue 12,0.0,49.999999999999986,0.0,0.6247563352826508
train tissue 13,0.0,49.999999999999986,0.0,0.5879629629629628
train tissue 14,0.0,50.000000000000014,0.0,0.6730769230769229
train tissue 15,0.0,50.000000000000014,0.0,0.5463709677419359
train tissue 16,0.0,50.00000000000002,0.0,0.48777173913043487
train tissue 17,0.0,50.000000000000014,0.0,0.5781818181818184
train tissue 18,0.0,50.0,0.0,0.49039264828738555
train mean,0.0,50.0,0.0,0.5299116657017544
train std,0.0,1.5888218580782548e-14,0.0,0.06568994773486367
test tissue 0,0.0,49.999999999999986,0.0,0.5084541062801933
test tissue 1,0.0,49.99999999999999,0.0,0.548717948717949
test tissue 2,0.0,50.0,0.0,0.44397759103641465
test tissue 3,0.0,50.00000000000002,0.0,0.44480519480519487
test tissue 4,0.0,49.999999999999986,0.0,0.5363408521303257
test tissue 5,0.0,50.0,0.0,0.49887005649717486
test tissue 6,0.0,49.999999999999964,0.0,0.40984848484848446
test tissue 7,0.0,50.00000000000002,0.0,0.5310559006211182
test mean,0.0,49.99999999999999,0.0,0.4902587668671069
test std,0.0,1.8115356374411762e-14,0.0,0.04780749579909343
