,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.89,49.92,0.0,0.75,33.35,28.86,33.3,0.0,53.29,0.5772,17.61,50.32,0.0,2.5,33.76,28.13,33.62,0.0,50.79,0.5163
split 1,18.93,50.22,0.0,6.56,34.12,30.04,33.65,0.0,56.46,0.5773,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.4968
split 2,17.09,50.06,1.21,0.0,33.48,28.76,33.41,52.87,0.0,0.5746,16.62,49.86,0.0,0.0,33.14,11.09,33.27,0.0,0.0,0.5376
split 3,27.38,49.65,0.0,32.49,36.89,26.62,35.04,0.0,44.81,0.5743,22.53,46.89,0.0,20.7,32.47,21.14,32.87,0.0,30.54,0.5383
split 4,18.97,49.77,0.0,7.14,33.79,27.16,33.41,0.0,48.08,0.5731,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5359
split 5,18.92,50.35,2.12,4.3,34.24,53.85,33.71,62.06,65.79,0.5758,16.42,47.47,0.0,1.8,31.35,14.72,31.86,0.0,12.29,0.5242
mean,19.7,50.0,0.56,8.54,34.31,32.55,33.75,19.16,44.74,0.5754,17.75,49.09,0.0,4.17,32.9,16.22,33.05,0.0,15.6,0.5248
std,3.55,0.24,0.83,11.04,1.2,9.59,0.59,27.22,21.08,0.0015,2.17,1.37,0.0,7.46,0.79,6.41,0.57,0.0,19.16,0.0149
