,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,60.63,62.39,59.15,60.34,60.69,56.58,19.65,0.7867,30.19,35.05,27.12,28.4,30.37,26.67,34.81,0.4991
split 1,59.68,59.0,59.78,60.26,59.66,59.94,20.17,0.776,33.23,34.29,27.12,38.3,33.33,26.67,33.33,0.5225
split 2,59.03,58.78,57.35,60.96,59.03,56.15,20.48,0.7751,31.85,32.14,32.0,31.41,31.84,31.46,34.08,0.4926
split 3,61.74,62.05,60.38,62.79,61.73,61.73,19.13,0.7919,32.87,35.68,33.71,29.24,32.96,33.71,33.52,0.4992
split 4,57.08,58.84,54.57,57.84,57.17,50.84,21.42,0.7697,32.6,36.16,31.21,30.43,32.58,30.34,33.71,0.5147
mean,59.63,60.21,58.25,60.44,59.66,57.05,20.17,0.7798,32.15,34.66,30.23,31.56,32.22,29.77,33.89,0.5056
std,1.57,1.64,2.1,1.59,1.55,3.74,0.77,0.0082,1.08,1.41,2.67,3.52,1.05,2.75,0.52,0.0111
