,F1,Acc,precision,Auc
test tissue 0,70.3703703703704,69.92481203007522,69.3430656934307,0.7704260651629071
test tissue 1,69.82055464926593,71.18380062305295,73.28767123287676,0.7606438213914845
test tissue 2,72.37949502677891,65.01937984496125,59.79772439949437,0.7790697674418602
test tissue 3,64.13730803974713,70.25771651183699,80.75523202911741,0.7719508540605339
test tissue 4,63.71644295302019,69.0297171500179,76.91139240506332,0.7375581811672043
test mean,68.08483420783651,69.08308523198886,72.01901715199651,0.763929737844798
test std,3.5027508490816537,2.1455916398605943,7.188699213681778,0.014436185913931457
