,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.606,0.0,50.0,0.0,0.5216
split 1,0.0,50.0,0.0,0.594,0.0,50.0,0.0,0.4936
split 2,0.0,50.0,0.0,0.578,0.0,50.0,0.0,0.5642
split 3,0.0,50.0,0.0,0.5987,0.0,50.0,0.0,0.527
split 4,0.0,50.0,0.0,0.5917,0.0,50.0,0.0,0.5361
split 5,0.0,50.0,0.0,0.5824,0.0,50.0,0.0,0.4871
mean,0.0,50.0,0.0,0.5918,0.0,50.0,0.0,0.5216
std,0.0,0.0,0.0,0.0094,0.0,0.0,0.0,0.0259
test mean,0.0,50.0,0.0,0.5723905780824007,0.0,50.0,0.0,0.5182203488504209
test std,0.0,1.1641219855237143e-14,0.0,0.08869294788012304,0.0,1.1234667099445444e-14,0.0,0.09238464607489207
