plant,time point,cell,clustering coefficient,information centrality,page rank,katz centrality,harmonic centrality,abs graph density on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,abs graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,harmonic centrality.2,abs graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,clustering coefficient.3,information centrality.3,katz centrality.3,harmonic centrality.3,abs graph density on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
P1,0,332,0.4,0.00383036972053704,0.002945843688890507,0.058078073241097886,60.67004107004138,0.21904761904761907,0.7173491471198679,0.2211712254755926,0.13441000519091748,0.00012090318753188536,3.6625354088411895e-06,0.003405336048328209,0.058078073241097886,0.21904761904761907,0.07393884689698198,0.02266878220127925,2.0530338392118,0.01064183840861928,0.0011491293696530196,2.410399237523937e-08,0.0031307354460424768,0.058078073241097886,244.89766791051915,0.21904761904761907,0.5994726320267085,0.17371970416847993,0.16564546665006008,0.029899689018177408,0.058078073241097886,7.856787176739756,0.21904761904761907,5.1781621168306815
P1,0,340,0.5,0.0036564149740312643,0.002534104078122373,0.051716679797740486,60.492146742147064,0.2720588235294117,0.9430074592944724,0.16159562781693007,0.14248367416403807,0.00011101053221232417,1.353199062869802e-05,0.0028357431722822127,0.05171667979774048,0.2720588235294117,0.05567689669655422,0.0254713992146256,1.2637797534414985,0.010860416744864116,0.001027458227582089,1.0798989590173447e-11,0.0023619553350394122,0.05171667979774048,260.1718365197261,0.2720588235294117,0.512176168869298,0.20647585009315966,0.21958177869926931,0.028451996484634832,0.05171667979774048,7.788833016292982,0.2720588235294117,7.479953064839384
P1,0,346,0.4,0.003879269455332335,0.0029567919900842345,0.0573572866030097,62.357864357864635,0.2315789473684211,0.7124311178296123,0.18382273133475505,0.11542987594343848,0.00011837912915925862,8.250888230871923e-06,0.0029517013858693197,0.0573572866030097,0.2315789473684211,0.07149655384820318,0.022293089571399933,1.5644087278956207,0.009299571921230378,0.0010940480440449617,1.6322879712139282e-11,0.0026599487238249905,0.0573572866030097,275.00309841912457,0.2315789473684211,0.5764613468260895,0.17404102427704593,0.18248862821978545,0.030753739736201317,0.0573572866030097,7.956864119837802,0.2315789473684211,5.448623477406748
P1,0,351,0.3333333333333333,0.003944608423927158,0.00342257235764343,0.06078670305242529,60.48608336108371,0.25146198830409355,0.8272396868683478,0.2239474673288097,0.10336150081957148,0.00012172133814636115,5.61273605984973e-06,0.003454058640328089,0.06078670305242529,0.25146198830409355,0.0709240446558437,0.026665922730471046,2.2232120160984064,0.008364050906642056,0.0011250712659787027,3.3588323122169476e-11,0.0035319486125660023,0.06078670305242529,276.92213868458754,0.25146198830409355,0.571266844025508,0.22190502653785574,0.14397622463838927,0.03093458611242404,0.06078670305242529,8.024642018747366,0.25146198830409355,6.265937147241273
P1,0,369,0.3333333333333333,0.004106578953921568,0.0033602824541147337,0.06342015087540832,64.3926850926854,0.2121212121212121,0.6488508235388261,0.19060022735236626,0.08710828772134949,0.00012198115848073477,0.000620892283130551,0.003157633529885749,0.06342015087540832,0.2121212121212121,0.06769063932916418,0.01852948583153268,2.1330201544624123,0.007881083549150677,0.0012125225315222255,7.391049385088038e-10,0.0031544945360236663,0.06342015087540832,274.1298872474448,0.2121212121212121,0.5883410800785172,0.1818626246307239,0.15862513486738758,0.03316346327554045,0.06342015087540832,7.79166490358805,0.2121212121212121,5.357046667244348
P1,0,376,0.4,0.003790754173590493,0.002972144922495268,0.05660798551773578,59.82408147408182,0.2456140350877193,0.7949814819885628,0.2253486166266415,0.1365216300132668,0.00012039678514200713,4.119819122439053e-06,0.0034392757011558,0.05660798551773578,0.2456140350877193,0.07331114916090829,0.025932448413663996,1.7105024710066363,0.010560165278535752,0.001093116175622943,9.071745904491834e-10,0.0027212347088372245,0.05660798551773578,262.4025859476859,0.2456140350877193,0.5759291226477075,0.2039827413457864,0.1641438488234676,0.02934681703959463,0.05660798551773578,7.972904219147087,0.2456140350877193,5.726961849239613
P1,0,389,0.4,0.003839184845412716,0.002982631294215045,0.056342134156833985,61.569841269841575,0.26143790849673204,0.8940296896815534,0.18602397178387087,0.11954112156492372,0.0001173293451790236,1.9797378950882488e-05,0.003004391124076685,0.056342134156833985,0.26143790849673204,0.06657270819954512,0.02724676819300077,1.5163596678186495,0.009261180201403943,0.0010616837485757855,1.1443830898973558e-12,0.0025443272477543807,0.056342134156833985,271.8061147929812,0.26143790849673204,0.5613868811277862,0.2394981596314201,0.17110322594841848,0.030005860323967067,0.056342134156833985,8.052288142319245,0.26143790849673204,7.538581252639537
P1,0,390,0.3333333333333333,0.003939772045882874,0.0034089940914800647,0.0615511086847433,62.03349150849179,0.2368421052631579,0.7361162674771675,0.1710475539593417,0.07782579225968622,0.00011268320504054805,3.672770680766801e-05,0.003117597712851289,0.0615511086847433,0.2368421052631579,0.05636422495194397,0.018982045996804902,2.056173872633474,0.007498833777760364,0.0011187190936176974,4.1077631555557457e-13,0.0036375231278678,0.0615511086847433,276.77198924071615,0.2368421052631579,0.5394644458337319,0.2036566868389761,0.16786120484173467,0.032295297976848075,0.0615511086847433,7.4053359631620665,0.2368421052631579,6.437040401065864
P1,0,398,0.4,0.00380088863063826,0.002990779729200756,0.0562635923509507,60.31646131646168,0.26143790849673204,0.8871244115723491,0.20057449518882625,0.12474539162314828,0.00011785607657662645,1.2439330300493566e-05,0.003193869948555601,0.0562635923509507,0.26143790849673204,0.06413482599641998,0.026500537242764268,3.1526537347041064,0.01113213475819033,0.0011592849484733042,2.5892625274578764e-12,0.004433067003381505,0.0562635923509507,268.8215748276259,0.26143790849673204,0.5315989241351737,0.21369741384600874,0.1695831956408079,0.029678706269444695,0.0562635923509507,7.981866636990932,0.26143790849673204,6.940252473342474
P1,0,413,0.5,0.003625658903993254,0.0025384762618846685,0.05142011293639865,59.01886724386762,0.2916666666666667,1.0008307810573187,0.14847015572367578,0.13267887413828044,0.00010768602338675842,2.7438975835470017e-05,0.002671108193986054,0.05142011293639865,0.2916666666666667,0.05132169103225463,0.02561903509811489,1.1173732538674694,0.010023638533020771,0.0009707364046310832,1.4841958486137697e-11,0.0021793105370763203,0.05142011293639865,263.659151217993,0.2916666666666667,0.4743388968721245,0.2295074819533787,0.21052607401133885,0.027508458761884028,0.05142011293639865,7.829663574364322,0.2916666666666667,8.515364274698634
