,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5171,0.0,50.0,0.0,0.5457
split 1,0.0,50.0,0.0,0.4703,0.0,50.0,0.0,0.5016
split 2,0.0,50.0,0.0,0.5258,0.0,50.0,0.0,0.5228
split 3,0.0,50.0,0.0,0.4762,0.0,50.0,0.0,0.4856
split 4,0.0,50.0,0.0,0.4753,0.0,50.0,0.0,0.481
split 5,0.0,50.0,0.0,0.4751,0.0,50.0,0.0,0.4758
mean,0.0,50.0,0.0,0.49,0.0,50.0,0.0,0.5021
std,0.0,0.0,0.0,0.0225,0.0,0.0,0.0,0.025
test mean,0.0,50.0,0.0,0.47688821377775453,0.0,50.0,0.0,0.47345600771248436
test std,0.0,1.3040774653664003e-14,0.0,0.07051369814256545,0.0,1.7222418539888655e-14,0.0,0.05257955822184024
