,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5246,0.0,50.0,0.0,0.5337
split 1,1.57,50.22,69.46,0.5263,7.27,51.89,100.0,0.5151
split 2,0.0,50.0,0.0,0.5304,0.0,50.0,0.0,0.4762
split 3,3.42,50.68,82.32,0.5417,0.0,49.53,0.0,0.4552
split 4,0.0,50.0,0.0,0.5083,0.0,50.0,0.0,0.5493
split 5,0.0,50.0,0.0,0.5423,0.0,50.0,0.0,0.4627
mean,0.83,50.15,25.3,0.5289,1.21,50.24,16.67,0.4987
std,1.29,0.25,35.97,0.0115,2.71,0.76,37.27,0.0359
test mean,0.0,50.0,0.0,0.5022973632555763,0.0,50.00000000000001,0.0,0.4916054263328959
test std,0.0,1.3735440048751868e-14,0.0,0.07987633112591676,0.0,1.5280799322856756e-14,0.0,0.07922515195912441
