,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4643,0.0,50.0,0.0,0.4596
split 1,0.0,50.0,0.0,0.4664,0.0,50.0,0.0,0.4507
split 2,0.0,50.0,0.0,0.4638,0.0,50.0,0.0,0.4545
split 3,0.0,50.0,0.0,0.4575,0.0,50.0,0.0,0.4684
split 4,0.0,50.0,0.0,0.4528,0.0,50.0,0.0,0.544
split 5,0.0,50.0,0.0,0.4637,0.0,50.0,0.0,0.4629
mean,0.0,50.0,0.0,0.4614,0.0,50.0,0.0,0.4733
std,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0321
test mean,0.0,50.0,0.0,0.5259989462900968,0.0,50.00000000000001,0.0,0.5321992120007497
test std,0.0,1.770738406224495e-14,0.0,0.06981943244300437,0.0,1.6473255640462455e-14,0.0,0.10170453640234123
