,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.548,0.0,50.0,0.0,0.4872
split 1,0.0,50.0,0.0,0.5345,0.0,50.0,0.0,0.481
split 2,0.0,50.0,0.0,0.5577,0.0,50.0,0.0,0.4666
split 3,0.0,50.0,0.0,0.5302,0.0,50.0,0.0,0.5453
split 4,0.0,50.0,0.0,0.5524,0.0,50.0,0.0,0.4176
split 5,0.0,50.0,0.0,0.518,0.0,50.0,0.0,0.6236
mean,0.0,50.0,0.0,0.5401,0.0,50.0,0.0,0.5036
std,0.0,0.0,0.0,0.0138,0.0,0.0,0.0,0.0654
test mean,0.0,50.0,0.0,0.5339096017071664,0.0,50.0,0.0,0.5246389969116929
test std,0.0,1.529166373896289e-14,0.0,0.0966521510630705,0.0,2.1755839288168293e-14,0.0,0.07240416378864228
