,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,3.68,50.75,83.5,0.5918,1.95,50.27,68.34,0.5183
split 1,2.14,50.43,82.54,0.5759,10.98,52.29,81.82,0.6016
split 2,4.15,50.82,81.14,0.5859,0.0,50.0,0.0,0.5283
split 3,3.56,50.73,83.16,0.5935,2.19,50.32,70.0,0.4604
split 4,3.58,50.7,80.74,0.5821,0.0,50.0,0.0,0.5211
split 5,0.0,50.0,0.0,0.5952,0.0,50.0,0.0,0.5251
mean,2.85,50.57,68.51,0.5874,2.52,50.48,36.69,0.5258
std,1.42,0.28,30.66,0.0068,3.89,0.82,36.94,0.041
test mean,3.4342796053547833,50.735184598088836,27.787590217718723,0.5631205447643333,1.2977099236641225,50.023828976034864,9.883720930232558,0.5307512917895185
test std,5.270994125607898,1.32125900987338,41.47435026364178,0.06020245038726862,3.433417731915882,0.9744583253221524,26.149867609359326,0.038549110680191484
