,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5506,0.0,50.0,0.0,0.5139
split 1,0.0,50.0,0.0,0.5649,0.0,50.0,0.0,0.4322
split 2,0.0,50.0,0.0,0.551,0.0,50.0,0.0,0.5244
split 3,2.82,50.47,74.11,0.5672,0.0,49.53,0.0,0.5108
split 4,0.0,50.0,0.0,0.5177,0.0,50.0,0.0,0.3722
split 5,0.0,50.0,0.0,0.546,0.0,50.0,0.0,0.5218
mean,0.47,50.08,12.35,0.5495,0.0,49.92,0.0,0.4792
std,1.05,0.17,27.62,0.0162,0.0,0.17,0.0,0.0573
test mean,0.0,49.99999999999999,0.0,0.5270867559138473,0.0,50.000000000000014,0.0,0.4609929287202223
test std,0.0,1.686185274042142e-14,0.0,0.05553139115510988,0.0,1.2306961192854808e-14,0.0,0.0808995182609426
