,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,64.03,65.79,70.16,56.15,64.11,63.99,64.41,69.95,57.61,0.8115,50.91,53.58,55.24,43.91,51.09,51.19,49.23,57.3,47.03,0.7067
split 1,62.1,62.85,68.16,55.31,62.19,62.06,63.5,66.42,56.26,0.7962,61.95,66.36,70.83,48.65,62.57,61.93,67.01,65.32,53.46,0.8136
split 2,64.9,66.34,72.42,55.94,65.05,64.81,65.43,71.15,57.87,0.8242,53.38,57.64,55.05,47.44,53.46,53.35,56.02,55.5,48.52,0.7241
split 3,61.07,62.45,67.09,53.68,61.19,61.02,62.94,65.07,55.05,0.7878,58.15,61.29,62.29,50.86,57.93,59.26,58.06,71.3,48.42,0.7759
split 4,62.15,64.59,67.56,54.29,62.3,62.08,63.69,66.07,56.49,0.7993,59.77,60.41,67.97,50.92,60.13,59.72,60.22,64.25,54.7,0.7792
split 5,61.9,64.2,67.19,54.31,62.03,61.84,63.65,65.62,56.24,0.7963,61.2,59.24,68.86,55.5,61.41,61.76,66.84,64.33,54.11,0.7759
mean,62.69,64.37,68.76,54.95,62.81,62.63,63.94,67.38,56.59,0.8025,57.56,59.75,63.37,49.55,57.76,57.87,59.56,63.0,51.04,0.7626
std,1.33,1.41,1.93,0.91,1.33,1.32,0.79,2.3,0.94,0.012,4.07,3.86,6.37,3.56,4.18,4.13,6.2,5.27,3.11,0.0362
test mean,60.02490008077755,61.067460812327134,65.62277724795416,53.38446218205136,60.512728764684724,60.838604590788705,62.13001954393331,64.73736593083581,55.648428297596986,0.787625177332644,52.85349840412935,55.65356672240299,61.10856289226436,41.79836559772068,54.85153726483941,55.505683197192994,56.8180607102771,61.38359927855238,48.31538960274952,0.7492002585303532
test std,8.619203226039724,10.304329859008861,14.021253090172742,7.423748066940669,8.490771900966944,8.174534196533596,8.611240156997416,11.475356762455549,9.971673708763733,0.06976247691235882,8.313243884181569,17.941040538738257,9.391959039845364,9.57140914008724,7.188356185338935,6.846406727635829,2.4145586451604433,10.095354803394029,10.90394136525651,0.06377153384095534
