,T0,T1,T2,T3
P1,15.294117647058824,12.941176470588236,18.75,55.072463768115945
P2,38.94736842105263,20.930232558139537,30.508474576271187,12.820512820512821
P5,31.818181818181817,12.0,18.91891891891892,14.285714285714286
P6,32.55813953488372,1.1363636363636365,,32.25806451612903
P8,23.529411764705884,53.65853658536585,1.639344262295082,
