,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,3.44,50.69,82.09,0.5657,2.69,50.48,77.12,0.4655
split 1,2.28,50.47,83.8,0.5831,8.22,51.43,74.59,0.4872
split 2,4.06,50.79,80.68,0.5943,0.0,50.0,0.0,0.4846
split 3,3.65,50.75,83.64,0.576,2.12,50.3,69.0,0.5516
split 4,3.72,50.74,81.54,0.5778,0.0,50.0,0.0,0.4668
split 5,2.72,50.47,76.05,0.5695,7.14,51.85,100.0,0.5538
mean,3.31,50.65,81.3,0.5778,3.36,50.68,53.45,0.5016
std,0.61,0.13,2.59,0.0093,3.23,0.71,39.01,0.037
test mean,2.7692260077486615,50.51513273702919,23.357224649052124,0.5592532771690748,2.4104532163742687,50.5321223316913,20.930232558139537,0.5172890804227879
test std,4.797657553714902,1.3173372519752484,39.73257772459482,0.04774120066131512,4.412840643955623,1.101078924371255,37.15475653179176,0.06117097986114907
