,label 0,label 1,label 2
p4 FM1,39,30,29
p4 FM1,81,50,62
p4 FM1,40,31,36
p4 FM1,137,107,119
p4 FM2,33,34,29
p4 FM2,75,75,76
p4 FM2,91,94,99
p4 FM2,109,79,91
summed labels,605,500,541
