,label 0,label 1,label 2
P1,61,47,48
P1,35,36,34
P1,57,38,40
P1,41,29,31
P2,50,42,49
P2,41,31,35
P2,31,17,28
P2,21,14,14
P5,49,56,46
P5,44,32,29
P5,32,30,25
P5,26,14,12
P6,77,61,62
P6,6,4,4
P6,22,18,22
P8,60,41,45
P8,34,40,34
P8,8,6,7
P9,53,42,46
P9,50,35,45
P9,39,26,29
P9,79,52,43
P10,35,26,32
P10,10,10,7
P10,25,17,17
P11,25,26,29
P11,10,8,13
P11,83,50,59
P11,69,57,52
summed labels,1173,905,937
