,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5888,0.0,50.0,0.0,0.4771
split 1,2.16,50.43,82.7,0.5711,3.42,49.54,39.78,0.5157
split 2,0.0,50.0,0.0,0.5967,0.0,50.0,0.0,0.4484
split 3,2.91,50.56,79.98,0.5841,0.0,49.53,0.0,0.473
split 4,0.0,50.0,0.0,0.5869,0.0,50.0,0.0,0.4963
split 5,0.0,50.0,0.0,0.5829,0.0,50.0,0.0,0.4595
mean,0.85,50.16,27.11,0.5851,0.57,49.85,6.63,0.4783
std,1.21,0.24,38.35,0.0077,1.27,0.22,14.83,0.0224
test mean,0.0,50.0,0.0,0.576144549332432,0.0,50.00000000000001,0.0,0.4802033573183798
test std,0.0,1.4022623163127864e-14,0.0,0.06162244047805753,0.0,2.1316282072803006e-14,0.0,0.07814061267834967
