plant,time point,cell,clustering coefficient,information centrality,eigenvector centrality,page rank,katz centrality,harmonic centrality,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,current flow betweenness centrality.1,harmonic centrality.1,abs graph density on 2 neighborhood.1,rel graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,current flow betweenness centrality.2,harmonic centrality.2,abs graph density on 2 neighborhood.2,rel graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,clustering coefficient.3,information centrality.3,betweenness centrality.3,eigenvector centrality.3,page rank.3,katz centrality.3,load centrality.3,harmonic centrality.3,abs graph density on 2 neighborhood.3,rel graph density on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
p4 FM1,1,21943,0.4,0.0079653164661433,0.1126080123651961,0.0056567229322923,0.0791005202759497,42.20165945165954,0.2456140350877193,4.421052631578948,0.83311441619161,0.1301307540684297,0.2262612969625736,0.0001735953623089,0.0267446608079846,0.0053410817703582,0.0791005202759497,0.0724717026475561,2066.6632414104074,0.2456140350877193,4.421052631578948,0.0498726824183388,0.0184538653530433,1.372851924475817,0.0288756485411866,0.001907922193952,1.3332856563071508e-05,0.0051296013676819,0.0791005202759497,0.0664491038754105,208.68783831137424,0.2456140350877193,4.421052631578948,0.4938639294622338,0.18175598026592,0.2269088666459407,0.0634708766165906,0.0633872015665488,0.1318624981767941,0.0058755291169984,0.0791005202759497,0.0618800783977655,5.445689096390005,0.2456140350877193,4.421052631578948,7.3286843679194655
p4 FM1,1,21944,0.4,0.007757490362247,0.1061689945429913,0.0057210129995234,0.0768888489881035,40.30919913419929,0.3,4.5,1.0509996094880192,0.1504253492273926,0.2609353467285311,0.000174749954468,0.0487771646979305,0.0059892149021303,0.0768888489881035,0.0649171465058396,1843.7000683973288,0.3,4.5,0.0475897247961873,0.0248518690403513,1.3568158170656004,0.0290369882282913,0.0018520747797926,1.972619655972767e-05,0.0051145713798197,0.0768888489881035,0.0549450869410314,204.6379096365989,0.3,4.5,0.4527764458984552,0.2487494042046341,0.2181524243966799,0.0610774216934889,0.0690850077344629,0.1073683195735949,0.0057106682710328,0.0768888489881035,0.067190574811147,5.454130966987671,0.3,4.5,8.853724698956906
p4 FM1,1,21945,0.4,0.0079585697981095,0.1228891888243295,0.0056327289871822,0.0808168501883798,42.671212121212186,0.231578947368421,4.4,0.6712742872560329,0.1558798804276158,0.2666111598806533,0.000180859517651,0.1702588152651295,0.0057925703947155,0.0808168501883798,0.0834102561131378,1963.699095591137,0.231578947368421,4.4,0.0550386334580913,0.0168985614562954,1.6986119745150692,0.0311716301984518,0.0020072065883195,0.0026008213505561,0.0055852894775443,0.0808168501883798,0.0771229329886553,201.2314907044143,0.231578947368421,4.4,0.524776027466055,0.1643423199416365,0.2102757502989507,0.0623848441254853,0.0584935987566475,0.0550780886808179,0.0058910235626984,0.0808168501883798,0.0584237261685604,5.57783427897575,0.231578947368421,4.4,4.960599082105159
p4 FM1,1,21960,0.3333333333333333,0.0082690123483438,0.1221864380193566,0.0064734156257815,0.0873360558318784,43.93784271284274,0.2238095238095238,4.476190476190476,0.7735823933738019,0.1568406436405306,0.2051853466797855,0.000180505206205,0.0159227564697006,0.0061287989265886,0.0873360558318784,0.0932899360053781,2057.440013124988,0.2238095238095238,4.476190476190476,0.0544134781169345,0.0179860224654323,1.742597929523337,0.0247736379245201,0.0020350360646658,1.2840940737073846e-05,0.0060264404640321,0.0873360558318784,0.0980665324511835,207.46455400719847,0.2238095238095238,4.476190476190476,0.5144579517853259,0.1699083362129403,0.1730807761619168,0.065418832766186,0.0970076107870865,0.0805418575205404,0.0066363572574355,0.0873360558318784,0.0968485334803953,5.596641854572308,0.2238095238095238,4.476190476190476,5.956802561642748
p4 FM1,1,21962,0.5,0.0075098148364542,0.1003453187194152,0.0048296226248438,0.0718792497388778,41.250432900433,0.2720588235294117,4.352941176470588,0.9154162499968932,0.1381683139350774,0.3421240936701777,0.0001736609888861,0.0496782704962955,0.0054668716306717,0.0718792497388778,0.06255171395948,1816.397674801409,0.2720588235294117,4.352941176470588,0.0508018036126753,0.0221133116841605,1.1438035698949334,0.0386460940913407,0.0018102853717624,5.396121993003053e-05,0.0042882600784335,0.0718792497388778,0.0488631858848728,194.37532954407823,0.2720588235294117,4.352941176470588,0.4925489709845767,0.216676073171089,0.2555466155475033,0.058394127796989,0.0360373461477732,0.07164819553128,0.0045092837993333,0.0718792497388778,0.0373177926426712,5.429224795902257,0.2720588235294117,4.352941176470588,7.193161090918891
p4 FM1,1,21969,0.4,0.0080668531897384,0.1179057853826165,0.0056275990090376,0.0795813566140478,42.72979797979802,0.2456140350877193,4.421052631578948,0.7949814819885634,0.1370741453407064,0.2357774465430494,0.0001777086001446,0.0309858750156206,0.0055499516002921,0.0795813566140478,0.0818132276090825,2045.9978052127587,0.2456140350877193,4.421052631578948,0.0508361611857355,0.0181432292700259,1.48381562945224,0.0304081174685587,0.0019864280295668,7.766457688984704e-05,0.0052697119304288,0.0795813566140478,0.0784481822329802,203.91898512542983,0.2456140350877193,4.421052631578948,0.504604221516039,0.1836061843753751,0.2127378042794038,0.0631093690678054,0.08396328510879,0.0784229348538913,0.0054819788590384,0.0795813566140478,0.0854127983558687,5.564300387682493,0.2456140350877193,4.421052631578948,6.6181591152321175
p4 FM1,1,21971,0.5,0.0075246048352205,0.1049261390665767,0.0048199772826604,0.07338660058929,40.951406926407074,0.2549019607843137,4.333333333333333,0.8229030178733576,0.1311905784323933,0.3320417430299969,0.0001721472964805,0.0952626407364081,0.0051089884336928,0.07338660058929,0.0638430548120399,1892.899490392512,0.2549019607843137,4.333333333333333,0.0503114562880509,0.0196926145236441,1.0412449290343424,0.0382755241650832,0.0017575747897624,0.0019116125116817,0.0036506585313264,0.07338660058929,0.0423732360379439,202.6842472971269,0.2549019607843137,4.333333333333333,0.4890025678581604,0.1852130317508952,0.254009853085232,0.0575126807622199,0.0497052322238377,0.0308357886354361,0.0046219163544015,0.07338660058929,0.0501065916162941,5.523100893191111,0.2549019607843137,4.333333333333333,5.869728327611784
p4 FM1,1,21977,0.4,0.0081048185504827,0.115630162174378,0.0056038403178399,0.0805823339898412,43.87305194805196,0.231578947368421,4.4,0.7536257201119806,0.1339154419132303,0.2234586508392275,0.0001771105954948,0.0161731342593446,0.0054991995834892,0.0805823339898412,0.0866086880588928,2096.774220219308,0.231578947368421,4.4,0.0509097504379997,0.0169883986609391,1.4924850744530798,0.0289267953453302,0.0020021018199011,6.609933478087356e-05,0.005097848431877,0.0805823339898412,0.0848332516072671,201.7728290913269,0.231578947368421,4.4,0.4997590561049516,0.1722671169398528,0.2162220226658138,0.0641388434495797,0.0913882517367519,0.0613770467162598,0.0056892657527725,0.0805823339898412,0.0918182416312237,5.5080034003753005,0.231578947368421,4.4,6.383332046939645
p4 FM1,1,21979,0.3333333333333333,0.0084496507723484,0.1386138213098079,0.0064501749313575,0.0870961520877477,44.27817460317464,0.2238095238095238,4.476190476190476,0.7232581054047449,0.174229932080566,0.218961713402895,0.0001888173257376,0.0723039136301729,0.0066776446219887,0.0870961520877477,0.1022622099440814,2053.501973144992,0.2238095238095238,4.476190476190476,0.0547805553252356,0.0170420545231377,1.952172641300522,0.0274965398112392,0.0021552585187853,0.0004954346045943,0.0063514201980615,0.0870961520877477,0.11095977166933,190.8269477425941,0.2238095238095238,4.476190476190476,0.5408610869553282,0.179388389035233,0.1716791231591543,0.0668967648258928,0.0930498121931023,0.0723707033369604,0.0065905331749176,0.0870961520877477,0.0930442812480162,5.596064664326261,0.2238095238095238,4.476190476190476,5.548812363490392
