,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,47.91,19.32,54.35,70.06,52.74,55.22,55.26,43.15,67.25,0.7138,46.3,23.84,53.21,61.84,50.17,57.21,68.49,41.54,61.6,0.682
split 1,53.37,50.9,40.92,68.27,53.89,53.34,48.04,45.89,66.08,0.7355,54.81,57.74,37.36,69.34,56.58,57.15,49.13,54.94,67.38,0.7606
split 2,55.12,52.89,44.21,68.27,55.95,55.15,52.1,50.67,62.69,0.7437,53.07,53.75,36.5,68.96,54.47,53.14,50.26,45.45,63.7,0.7533
split 3,52.9,41.57,49.27,67.87,53.64,54.48,54.52,43.5,65.42,0.7247,46.09,18.46,52.58,67.25,50.7,52.62,51.17,41.67,65.01,0.6999
split 4,47.42,22.16,53.25,66.85,51.56,55.38,59.14,42.27,64.73,0.7039,42.29,0.0,54.52,72.36,51.44,36.57,0.0,42.54,67.17,0.6981
split 5,54.58,49.22,46.13,68.38,55.28,54.44,51.53,49.14,62.65,0.7459,53.37,47.26,40.9,71.94,54.08,53.1,50.88,41.6,66.83,0.7387
mean,51.88,39.34,48.02,68.29,53.84,54.67,53.43,45.77,64.8,0.7279,49.32,33.51,45.85,68.62,52.91,51.63,44.99,44.62,65.28,0.7221
std,3.07,13.64,4.79,0.95,1.47,0.7,3.45,3.15,1.69,0.0154,4.65,20.93,7.73,3.5,2.3,7.0,21.19,4.81,2.1,0.03
test mean,53.30589622527699,47.380844992916984,42.35933575985713,70.17750792305685,54.246194870426336,54.24441546014119,49.57291818041042,45.55553396028027,67.60479423973285,0.7457442653819336,47.7951973808463,39.85514205916292,37.77641610479522,65.75403397858075,49.55968472717703,48.89082268607751,44.97427268433098,40.986939432839094,60.711255941062475,0.7118663545947506
test std,6.375113800615404,9.002039686664626,8.949680604591588,9.705496979382744,6.4618811148345605,6.459007380321109,8.467894345766394,8.651838717371112,12.401597912611086,0.057666339465753606,3.9699588763029388,8.997725911088297,10.073817183108705,6.34756504743975,4.928902790171481,5.03711527103876,9.792044220009249,7.2995762017145935,3.5408463959037535,0.045389344634435495
