,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4975,0.0,50.0,0.0,0.5086
split 1,0.0,50.0,0.0,0.4941,0.0,50.0,0.0,0.5574
split 2,0.0,50.0,0.0,0.485,0.0,50.0,0.0,0.5247
split 3,0.0,50.0,0.0,0.4905,0.0,50.0,0.0,0.5141
split 4,0.0,50.0,0.0,0.4907,0.0,50.0,0.0,0.5209
split 5,0.0,50.0,0.0,0.5032,0.0,50.0,0.0,0.4676
mean,0.0,50.0,0.0,0.4935,0.0,50.0,0.0,0.5155
std,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0265
test mean,0.0,50.0,0.0,0.5057788443444808,0.0,50.00000000000001,0.0,0.5274051401508176
test std,0.0,1.9561161980496004e-14,0.0,0.06468576807184279,0.0,1.464821375527116e-14,0.0,0.06368973613088828
