,F1,Acc,precision,Auc
train tissue 0,0.0,50.0,0.0,0.5663082437275989
train tissue 1,0.0,50.00000000000002,0.0,0.6054545454545457
train tissue 2,0.0,50.0,0.0,0.7041015625
train tissue 3,0.0,50.000000000000036,0.0,0.542483660130719
train tissue 4,0.0,50.0,0.0,0.45948275862068916
train tissue 5,0.0,49.999999999999986,0.0,0.7472527472527472
train tissue 6,0.0,49.99999999999998,0.0,0.5686956521739128
train tissue 7,0.0,49.999999999999986,0.0,0.5743989603638726
train tissue 8,0.0,50.000000000000014,0.0,0.6991869918699191
train tissue 9,0.0,49.999999999999986,0.0,0.5804988662131517
train tissue 10,0.0,49.99999999999997,0.0,0.6949685534591195
train tissue 11,0.0,50.0,0.0,0.6311300639658847
train tissue 12,0.0,50.0,0.0,0.5967741935483868
train tissue 13,0.0,49.999999999999986,0.0,0.693061224489796
train tissue 14,0.0,49.999999999999986,0.0,0.49584199584199595
train tissue 15,0.0,50.00000000000002,0.0,0.5457875457875458
train tissue 16,0.0,50.000000000000014,0.0,0.4973262032085564
train tissue 17,0.0,50.00000000000002,0.0,0.556
train tissue 18,0.0,49.999999999999986,0.0,0.3715659340659336
train mean,0.0,50.0,0.0,0.5858063001407567
train std,0.0,1.70187105622355e-14,0.0,0.09230139449263533
test tissue 0,0.0,50.000000000000014,0.0,0.4498327759197328
test tissue 1,0.0,50.000000000000014,0.0,0.6073153899240857
test tissue 2,0.0,50.0,0.0,0.3276315789473684
test tissue 3,0.0,50.0,0.0,0.46
test tissue 4,0.0,50.00000000000002,0.0,0.535757575757576
test tissue 5,0.0,50.0,0.0,0.42622950819672123
test tissue 6,0.0,50.0,0.0,0.4036409290646578
test tissue 7,0.0,50.0,0.0,0.44370370370370377
test mean,0.0,50.00000000000001,0.0,0.45676393268923077
test std,0.0,8.331852114593072e-15,0.0,0.07871180736062071
