,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4851,0.0,50.0,0.0,0.4805
split 1,0.0,50.0,0.0,0.5076,0.0,50.0,0.0,0.4922
split 2,0.0,50.0,0.0,0.5098,0.0,50.0,0.0,0.4513
split 3,0.0,50.0,0.0,0.4861,0.0,50.0,0.0,0.5292
split 4,0.0,50.0,0.0,0.4938,0.0,50.0,0.0,0.5144
split 5,0.0,50.0,0.0,0.4871,0.0,50.0,0.0,0.4752
mean,0.0,50.0,0.0,0.4949,0.0,50.0,0.0,0.4904
std,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.0256
test mean,0.0,50.0,0.0,0.481021582916544,0.0,50.00000000000001,0.0,0.5037054717114654
test std,0.0,1.6623791107849736e-14,0.0,0.08047603283359418,0.0,8.331852114593072e-15,0.0,0.06247550159564903
