,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5125,0.0,50.0,0.0,0.5017
split 1,0.0,50.0,0.0,0.5133,0.0,50.0,0.0,0.503
split 2,0.0,50.0,0.0,0.5108,0.0,50.0,0.0,0.501
split 3,0.0,50.0,0.0,0.4962,0.0,50.0,0.0,0.4741
split 4,0.0,50.0,0.0,0.5191,0.0,50.0,0.0,0.4354
split 5,0.0,50.0,0.0,0.4994,0.0,50.0,0.0,0.6003
mean,0.0,50.0,0.0,0.5085,0.0,50.0,0.0,0.5026
std,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.0498
test mean,0.0,50.0,0.0,0.49400232679256884,0.0,50.000000000000014,0.0,0.4757138514485606
test std,0.0,1.1754795421389178e-14,0.0,0.07442955390134184,0.0,1.794032467181608e-14,0.0,0.05385259039672092
