,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4908,0.0,50.0,0.0,0.4749
split 1,0.0,50.0,0.0,0.4786,0.0,50.0,0.0,0.4822
split 2,0.0,50.0,0.0,0.5187,0.0,50.0,0.0,0.5832
split 3,0.0,50.0,0.0,0.4639,0.0,50.0,0.0,0.5005
split 4,0.0,50.0,0.0,0.4819,0.0,50.0,0.0,0.5467
split 5,0.0,50.0,0.0,0.4663,0.0,50.0,0.0,0.5213
mean,0.0,50.0,0.0,0.4834,0.0,50.0,0.0,0.5181
std,0.0,0.0,0.0,0.0183,0.0,0.0,0.0,0.0377
test mean,0.0,50.0,0.0,0.47583920001848384,0.0,50.00000000000001,0.0,0.476115783961787
test std,0.0,1.6219258688167645e-14,0.0,0.05261063788470231,0.0,1.6085595323533783e-14,0.0,0.04275824496828877
