,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,45.1,49.36,41.4,44.53,45.44,45.72,43.83,46.89,46.45,0.6397,28.92,48.29,25.49,12.99,34.29,31.73,35.84,35.14,24.23,0.5106
split 1,44.12,50.56,39.0,42.79,45.02,46.23,41.77,48.98,47.94,0.6321,32.11,45.32,23.71,27.3,34.41,35.18,36.41,41.04,28.08,0.5055
split 2,45.95,51.2,41.17,45.5,46.43,46.77,45.5,49.16,45.64,0.6391,33.35,25.92,31.7,42.45,34.09,33.41,28.94,33.85,37.44,0.4974
split 3,44.85,49.67,42.25,42.65,45.34,46.2,42.56,50.41,45.62,0.6365,35.3,38.32,33.68,33.91,35.38,35.32,36.56,34.9,34.5,0.5202
split 4,43.59,50.29,40.36,40.11,44.25,44.55,43.16,46.4,44.1,0.6331,29.87,37.93,30.53,21.16,31.3,32.58,32.59,27.87,37.27,0.521
split 5,43.01,48.06,37.08,43.89,43.58,43.92,42.06,45.15,44.55,0.6284,34.6,29.81,38.58,35.41,34.99,36.4,32.25,32.29,44.67,0.5399
mean,44.44,49.86,40.21,43.25,45.01,45.57,43.15,47.83,45.72,0.6348,32.36,37.6,30.61,28.87,34.08,34.1,33.76,34.18,34.37,0.5158
std,0.98,1.0,1.72,1.71,0.91,1.0,1.25,1.82,1.26,0.004,2.34,7.87,4.97,9.72,1.32,1.65,2.77,3.92,6.66,0.0135
test mean,43.89736506797911,48.20340848272144,40.2301003321005,43.25858638911541,45.061806901654734,47.93396516863148,44.55123570152344,53.50452009762474,45.74613970674626,0.628869069843085,29.910839683804742,36.33676504427671,20.210195432159132,33.18555857497837,32.09589123259037,31.433567566958477,31.141377305826445,27.1774296884532,35.98189570659577,0.5057901336330803
test std,4.32851181964486,4.537068287748614,9.481531461090306,8.083627395841638,3.887935813051751,5.079407541498824,9.456902198560629,12.965108981353747,6.676983519633127,0.03503043394094343,4.475342573685783,6.2296688398396745,11.81104238595538,6.610315910059616,3.522544259552323,3.970074634252899,4.074211416924696,8.228588431434694,5.4899413972914894,0.040269273049111556
