,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,31.81,47.55,17.97,29.92,36.56,39.66,35.07,46.07,37.83,0.5677,18.8,46.2,1.31,8.89,30.36,29.75,31.78,39.27,18.2,0.5375
split 1,38.17,45.48,45.76,23.28,40.44,40.72,39.22,41.49,41.47,0.5886,32.83,39.14,34.46,24.9,33.89,34.34,33.81,32.8,36.39,0.5052
split 2,45.75,48.32,49.76,39.17,46.16,46.11,45.71,46.94,45.67,0.6344,31.7,36.18,40.36,18.55,34.01,34.49,35.8,32.65,35.03,0.5067
split 3,17.95,49.91,2.17,1.77,33.58,43.32,33.39,61.62,34.93,0.5643,16.77,50.31,0.0,0.0,33.33,11.2,33.61,0.0,0.0,0.4879
split 4,62.49,63.77,62.76,60.94,62.51,62.53,61.99,62.97,62.62,0.7928,32.68,26.98,36.34,34.72,33.04,32.88,31.04,33.02,34.59,0.4593
mean,39.23,51.0,35.68,31.02,43.85,46.47,43.08,51.82,44.5,0.6295,26.56,39.76,22.49,17.41,32.93,28.53,33.21,27.55,24.84,0.4993
std,14.78,6.54,22.23,19.38,10.24,8.33,10.37,8.76,9.75,0.0854,7.2,8.12,17.94,12.11,1.33,8.83,1.67,14.0,14.1,0.0256
