,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5651,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5286
split 1,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5578,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5494
split 2,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5598,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5274
split 3,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5509,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5358
split 4,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5558,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5625
split 5,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5581,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5451
mean,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5579,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5415
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123
