,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,79.08,79.03,78.91,0.8695,75.64,74.91,73.5,0.8219
split 1,77.15,77.35,77.84,0.8656,78.03,74.4,68.35,0.8334
split 2,82.37,81.86,80.12,0.8971,65.24,69.99,77.49,0.7758
split 3,63.55,67.54,72.46,0.7446,75.61,73.12,69.2,0.7853
split 4,78.45,78.23,77.66,0.8672,79.03,79.54,81.07,0.8531
split 5,81.51,81.28,80.54,0.887,79.76,78.6,75.63,0.8642
mean,77.02,77.55,77.92,0.8552,75.55,75.09,74.21,0.8223
std,6.28,4.75,2.66,0.0508,4.87,3.23,4.47,0.0326
