,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5401,0.0,50.0,0.0,0.5457
split 1,0.0,50.0,0.0,0.5556,0.0,50.0,0.0,0.5255
split 2,0.0,50.0,0.0,0.5712,0.0,50.0,0.0,0.5519
split 3,0.0,50.0,0.0,0.5391,0.0,50.0,0.0,0.4904
split 4,0.0,50.0,0.0,0.5589,0.0,50.0,0.0,0.4766
split 5,0.0,50.0,0.0,0.5648,0.0,50.0,0.0,0.4995
mean,0.0,50.0,0.0,0.555,0.0,50.0,0.0,0.5149
std,0.0,0.0,0.0,0.0119,0.0,0.0,0.0,0.0281
test mean,0.0,50.0,0.0,0.5440705209851081,0.0,49.99999999999999,0.0,0.4929237148566
test std,0.0,1.2731463251543875e-14,0.0,0.06481491758498656,0.0,2.4741787777998282e-14,0.0,0.08194067960237295
