,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4466,0.0,50.0,0.0,0.4763
split 1,0.0,50.0,0.0,0.4687,0.0,50.0,0.0,0.3574
split 2,0.0,50.0,0.0,0.5431,0.0,50.0,0.0,0.5624
split 3,0.0,50.0,0.0,0.5443,0.0,50.0,0.0,0.5533
split 4,0.0,50.0,0.0,0.4578,0.0,50.0,0.0,0.4166
split 5,0.0,50.0,0.0,0.564,0.0,50.0,0.0,0.409
mean,0.0,50.0,0.0,0.5041,0.0,50.0,0.0,0.4625
std,0.0,0.0,0.0,0.0473,0.0,0.0,0.0,0.0757
test mean,0.0,49.99999999999999,0.0,0.4479082366129516,0.0,50.00000000000001,0.0,0.5083838785719066
test std,0.0,1.6623791107849736e-14,0.0,0.08433022476618018,0.0,2.1167734743366723e-14,0.0,0.08598465273274904
