,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.6244,0.0,50.0,0.0,0.5203
split 1,0.0,50.0,0.0,0.6151,0.0,50.0,0.0,0.547
split 2,0.0,50.0,0.0,0.6202,0.0,50.0,0.0,0.5165
split 3,0.0,50.0,0.0,0.6176,0.0,50.0,0.0,0.5421
split 4,0.0,50.0,0.0,0.6057,0.0,50.0,0.0,0.5567
split 5,0.0,50.0,0.0,0.6039,0.0,50.0,0.0,0.5737
mean,0.0,50.0,0.0,0.6145,0.0,50.0,0.0,0.5427
std,0.0,0.0,0.0,0.0074,0.0,0.0,0.0,0.0198
test mean,0.0,50.0,0.0,0.5988307311371696,0.0,49.99999999999999,0.0,0.548607093092983
test std,0.0,1.6054591898650453e-14,0.0,0.058065517855203766,0.0,1.7222418539888655e-14,0.0,0.11463411218485425
