Label,Value,Area (micro m^2),Center_X,Center_Y,Center_Z
6241,0,39.198,12.5474,-15.6906,2.15249
6417,0,34.3261,-18.0219,41.6786,-2.83611
6481,0,40.5914,-5.10347,-33.7146,-5.39484
6449,0,30.9983,-13.7011,43.5465,-3.49854
6321,0,25.7055,-41.3895,-17.2651,-3.23387
6257,2,39.0054,-31.5366,1.07427,4.43489
6513,0,44.471,15.0824,-29.3604,-5.43241
6385,0,34.8015,-25.9509,12.2202,5.88255
6473,0,28.9627,23.447,37.5884,-7.45673
6441,0,35.3384,9.13565,36.395,-2.60565
6313,0,20.2728,-44.6764,-17.3568,-4.35378
6249,0,46.5844,-40.8002,21.0191,-1.72984
6505,0,11.9979,-12.8182,54.0526,-7.556
6377,0,43.4305,16.861,31.7122,-3.17282
6425,0,41.6801,-16.0032,1.57219,8.57308
6297,0,13.6936,-52.9628,3.46833,-6.80343
6233,0,25.0061,-52.6459,-20.2584,-7.42114
6489,0,40.1795,0.206915,60.9523,-6.09774
6361,0,52.7895,-33.4735,8.36341,3.55125
6457,0,38.8428,10.5837,-23.3745,-0.380599
6329,0,35.3922,-41.207,-23.7352,-5.21772
6265,0,39.6314,16.3627,27.8245,-1.11146
6393,0,25.4157,28.5553,2.08441,-1.82178
6405,0,40.7867,-22.1485,38.4375,-1.5038
6277,0,45.1013,17.9898,17.0283,1.86682
6341,0,45.0888,-37.8918,12.8502,1.36995
6437,0,43.9351,-11.1984,-6.56664,7.91814
6309,0,42.0574,-48.8732,-0.178268,-4.60837
6245,0,17.7687,36.1886,-6.35451,-6.88154
6501,0,56.2733,15.6915,55.3982,-6.37279
6373,0,42.6131,-28.1156,-14.7504,3.19083
6421,0,20.6339,9.08539,-32.6598,-6.6337
6293,0,37.8825,-7.61135,15.931,7.45995
6485,0,25.5708,-48.3423,-24.6644,-7.28058
6357,0,38.1733,16.5322,-24.7935,-2.89574
6261,0,44.3694,15.3958,0.243331,3.9677
6389,0,37.4298,23.9034,31.5674,-6.31295
6413,0,41.3885,3.70551,50.8132,-4.57629
6285,0,38.5845,9.49237,44.4047,-4.65578
6349,0,23.0841,-2.08846,52.3624,-4.9301
6445,0,47.1012,-12.6415,32.3818,2.13709
6317,0,45.6992,-3.16885,24.5049,5.05308
6509,0,7.05471,34.5953,-16.2831,-7.14621
6381,0,31.9442,16.6482,40.1534,-5.80199
6429,0,32.1425,-15.4922,48.905,-6.46039
6301,0,38.1183,10.865,59.3737,-6.04517
6365,0,38.754,0.704881,36.775,-1.01216
6333,0,48.3948,-40.7596,5.74197,0.0799892
6269,0,32.2162,-25.564,17.9145,5.14118
6525,0,10.1714,-55.2366,2.47031,-7.67486
6397,0,48.2955,16.6636,-17.8479,0.183779
6403,0,27.7573,-19.4572,17.7441,6.33557
6275,0,42.5728,18.6249,-9.54614,1.77684
6467,0,17.137,-49.981,10.84,-6.09162
6339,0,37.8552,-36.3434,-21.1338,-2.63591
6435,0,42.8895,-10.8215,-22.8643,2.81668
6307,0,23.9399,-4.8124,-19.9528,4.04826
6243,0,43.1911,13.7243,-7.84144,3.63784
6371,0,32.9411,28.8307,-14.1981,-3.19866
6419,0,45.1419,27.335,17.4098,-3.53201
6355,0,13.4532,-33.7162,40.473,-6.76814
6451,0,43.7535,6.6867,63.0725,-6.78874
6323,0,52.9571,12.4622,5.81942,5.02939
6259,0,26.1778,27.8878,-21.0836,-5.28891
6515,0,13.6427,-16.6067,-36.4515,-6.97495
6387,0,61.0576,-22.6467,31.5588,1.6754
6283,0,25.2637,9.80224,39.4182,-3.86329
6347,0,38.7359,-35.0197,-28.0165,-5.41301
6443,0,41.2788,-11.8189,23.1644,5.65519
6315,0,24.1148,-45.1464,5.90191,-2.28336
6507,0,54.0429,30.8474,8.21422,-3.9997
6379,0,48.2988,3.394,2.75537,7.22085
