,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,83.91,83.31,81.0,0.9037,38.82,59.06,76.79,0.8039
split 1,82.06,81.6,80.07,0.9025,79.91,74.85,66.54,0.9011
split 2,83.0,82.28,79.76,0.8985,71.79,74.26,79.42,0.8213
split 3,81.94,81.41,79.68,0.8852,79.69,78.33,75.0,0.8704
split 4,81.13,80.57,78.87,0.8903,73.89,73.5,72.82,0.8115
split 5,82.6,82.1,80.34,0.8882,78.7,78.0,76.3,0.8645
mean,82.44,81.88,79.95,0.8947,70.46,73.0,74.48,0.8454
std,0.88,0.84,0.65,0.0071,14.47,6.49,4.07,0.0355
