,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5125,0.0,50.0,0.0,0.4822
split 1,0.0,50.0,0.0,0.4833,0.0,50.0,0.0,0.4957
split 2,0.0,50.0,0.0,0.5139,0.0,50.0,0.0,0.4837
split 3,0.0,50.0,0.0,0.5055,0.0,50.0,0.0,0.502
split 4,0.0,50.0,0.0,0.4855,0.0,50.0,0.0,0.4874
split 5,0.0,50.0,0.0,0.4949,0.0,50.0,0.0,0.4698
mean,0.0,50.0,0.0,0.4993,0.0,50.0,0.0,0.4868
std,0.0,0.0,0.0,0.0122,0.0,0.0,0.0,0.0102
test mean,0.0,50.0,0.0,0.51842673856062,0.0,50.000000000000014,0.0,0.4666711799763639
test std,0.0,1.5028750209624192e-14,0.0,0.0716981200117611,0.0,1.6280579355608324e-14,0.0,0.07850399349406803
