,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,82.79,82.2,80.16,0.8945,69.27,74.65,87.92,0.8702
split 1,82.28,81.99,80.98,0.9057,81.43,77.19,68.67,0.8919
split 2,83.88,83.5,82.02,0.9136,70.05,72.9,78.29,0.8263
split 3,75.99,76.3,77.0,0.8337,79.7,77.08,71.52,0.8501
split 4,81.23,80.76,79.31,0.8873,78.71,78.58,78.25,0.8567
split 5,82.04,81.57,80.01,0.8963,75.75,74.98,73.51,0.8542
mean,81.37,81.06,79.91,0.8885,75.82,75.9,76.36,0.8582
std,2.54,2.28,1.56,0.0259,4.67,1.9,6.21,0.0199
