,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,30.46,50.12,0.0,41.27,38.91,26.61,37.23,0.0,42.59,0.6058,25.86,46.58,1.32,29.68,33.97,34.97,33.73,36.56,34.62,0.527
split 1,26.91,50.3,0.72,29.71,37.01,60.84,35.05,100.0,47.48,0.5938,24.18,48.91,0.0,23.63,35.01,25.97,33.73,0.0,44.19,0.5164
split 2,32.3,50.28,6.45,40.18,39.5,47.71,37.0,61.7,44.43,0.6118,23.03,45.58,0.0,23.52,31.96,22.19,32.19,0.0,34.36,0.5181
split 3,19.55,50.28,0.41,7.95,34.25,60.3,33.79,100.0,47.11,0.593,24.29,50.99,0.0,21.87,36.7,34.06,34.58,0.0,67.62,0.5261
split 4,29.91,50.42,1.12,38.19,38.69,53.42,36.19,77.57,46.5,0.5994,22.7,47.99,0.0,20.11,32.48,20.14,34.06,0.0,26.36,0.5422
split 5,25.16,50.36,2.54,22.59,36.24,55.06,34.57,81.91,48.71,0.5946,24.82,46.28,0.0,28.17,34.04,25.39,32.33,0.0,43.83,0.5595
mean,27.38,50.29,1.87,29.98,37.43,50.66,35.64,70.2,46.14,0.5997,24.15,47.72,0.22,24.5,34.03,27.12,33.44,6.09,41.83,0.5316
std,4.22,0.09,2.2,11.83,1.81,11.63,1.26,34.08,2.04,0.0069,1.06,1.83,0.49,3.37,1.57,5.58,0.88,13.62,13.05,0.015
test mean,24.795468294877598,47.897502971380455,0.23228803716608598,26.25661387608623,36.52745959897116,25.857945315475998,34.147313518572744,4.761904761904762,38.66461766595048,0.5758949056466541,20.018728885300554,47.5204946727646,1.1904761904761905,11.345215792660865,32.32427378114175,26.231993625945748,32.67325041342584,12.5,33.522730464411396,0.5029408583427015
test std,6.92102834063317,11.37514676967226,1.0388236829267323,19.993313664516986,5.055223279182739,12.000889542357202,8.02778904032704,21.295885499998004,21.482511548002414,0.07496022265947375,1.7671665611550826,3.5549056669173624,3.149703941743561,7.019906736416552,1.9868101909959393,9.419474368269077,1.4553347131042718,33.071891388307385,10.890136031625545,0.0442202519200476
