,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5298,0.0,50.0,0.0,0.5541
split 1,0.0,50.0,0.0,0.4925,0.0,50.0,0.0,0.4847
split 2,0.0,50.0,0.0,0.5286,0.0,50.0,0.0,0.4548
split 3,0.0,50.0,0.0,0.4872,0.0,50.0,0.0,0.5329
split 4,0.0,50.0,0.0,0.5345,0.0,50.0,0.0,0.5739
split 5,0.0,50.0,0.0,0.5209,0.0,50.0,0.0,0.5661
mean,0.0,50.0,0.0,0.5156,0.0,50.0,0.0,0.5278
std,0.0,0.0,0.0,0.0187,0.0,0.0,0.0,0.0438
test mean,0.0,50.0,0.0,0.5343437310610305,0.0,49.99999999999999,0.0,0.503531491472366
test std,0.0,1.3442122834233563e-14,0.0,0.07804957815885578,0.0,9.729507111180988e-15,0.0,0.07554885648474166
