,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5021,0.0,50.0,0.0,0.4938
split 1,0.0,50.0,0.0,0.4976,0.0,50.0,0.0,0.5432
split 2,0.0,50.0,0.0,0.5074,0.0,50.0,0.0,0.4663
split 3,0.0,50.0,0.0,0.503,0.0,50.0,0.0,0.5286
split 4,0.0,50.0,0.0,0.5134,0.0,50.0,0.0,0.5316
split 5,0.0,50.0,0.0,0.5123,0.0,50.0,0.0,0.4277
mean,0.0,50.0,0.0,0.506,0.0,50.0,0.0,0.4985
std,0.0,0.0,0.0,0.0056,0.0,0.0,0.0,0.041
test mean,0.0,50.0,0.0,0.5083762947188598,0.0,50.0,0.0,0.4710879428539877
test std,0.0,1.7480841034847636e-14,0.0,0.07883291615212405,0.0,1.6473255640462455e-14,0.0,0.10940168351462796
