,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,73.1,72.18,72.24,74.88,73.09,73.12,71.54,72.28,75.52,0.8759999999999999,64.07,60.45,64.05,67.7,64.04,64.12,60.01,63.32,69.05,0.8137
split 1,70.33,68.57,68.9,73.51,70.33,70.33,68.92,68.57,73.51,0.8608,70.92,72.49,71.55,68.72,70.92,70.94,73.29,70.21,69.32,0.8823
split 2,71.64,70.53,71.79,72.61,71.64,71.65,70.71,71.0,73.26,0.8703,66.07,64.47,64.84,68.9,66.03,66.16,63.48,64.19,70.8,0.8296
split 3,71.08,69.23,70.05,73.97,71.08,71.1,69.98,69.18,74.13,0.8638,70.03,70.84,70.16,69.08,70.06,70.35,66.38,71.9,72.78,0.8687
split 4,69.63,67.89,68.71,72.3,69.64,69.64,68.55,68.05,72.32,0.8574,71.57,68.37,70.73,75.61,71.64,71.69,72.15,68.58,74.34,0.8773
split 5,71.27,69.64,70.44,73.74,71.27,71.27,69.72,70.45,73.64,0.8664,69.3,66.82,68.73,72.34,69.37,69.38,69.86,68.71,69.57,0.8539
mean,71.18,69.67,70.35,73.5,71.18,71.18,69.9,69.92,73.73,0.8658,68.66,67.24,68.34,70.39,68.68,68.77,67.53,67.82,70.98,0.8542
std,1.08,1.39,1.32,0.86,1.08,1.09,1.02,1.47,0.97,0.0061,2.7,3.99,2.89,2.74,2.73,2.72,4.73,3.09,1.96,0.0251
test mean,72.54212600175397,71.32244220525202,72.21464321112948,74.08929258888037,72.59710943456369,72.82263652840128,71.37926159020826,71.68938875692182,75.39925923807374,0.8751214124270296,66.27133732228896,67.78016391569521,65.4445945293005,65.58925352187116,66.6239621031379,66.95155026572333,65.39297204479442,67.42776130401401,68.0339174483615,0.845166659393334
test std,5.524937202881468,6.237882207007723,7.672040387452166,5.492075466304777,5.5127350038414935,5.602419529551046,5.9301529280266685,7.033470923590131,7.3723469125278935,0.03697055410507234,4.240947447268005,2.8916326657873856,4.848440470349197,9.553274386561066,3.63996326963984,3.8278233265262425,4.4979470866928795,6.41653041389973,4.362265158840114,0.020390253308262853
