,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5568,0.0,50.0,0.0,0.4668
split 1,0.0,50.0,0.0,0.5687,0.0,50.0,0.0,0.4923
split 2,0.0,50.0,0.0,0.5653,0.0,50.0,0.0,0.4944
split 3,0.0,50.0,0.0,0.5743,0.0,50.0,0.0,0.5244
split 4,0.0,50.0,0.0,0.5513,0.0,50.0,0.0,0.5296
split 5,0.0,50.0,0.0,0.5581,0.0,50.0,0.0,0.5713
mean,0.0,50.0,0.0,0.5624,0.0,50.0,0.0,0.5131
std,0.0,0.0,0.0,0.0078,0.0,0.0,0.0,0.0335
