,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,59.88,59.46,61.21,58.97,59.91,64.23,20.05,0.7782,31.19,26.42,34.74,32.43,31.46,37.08,34.27,0.47700000000000004
split 1,61.0,61.1,60.0,61.9,61.03,57.46,19.48,0.7803,25.95,27.32,21.66,28.87,26.22,19.1,36.89,0.4345
split 2,58.59,57.05,57.64,61.08,58.78,55.77,20.61,0.7666,32.8,32.05,30.0,36.36,32.96,30.34,33.52,0.5275
split 3,57.44,58.19,59.1,55.02,57.56,64.51,21.22,0.764,32.53,32.95,38.38,26.25,32.96,42.7,33.52,0.4873
split 4,57.76,57.06,57.87,58.34,57.77,57.3,21.11,0.7632,28.88,30.12,30.06,26.46,28.79,29.55,35.61,0.4441
mean,58.93,58.57,59.16,59.07,59.01,59.86,20.5,0.7705,30.27,29.77,30.97,30.07,30.48,31.75,34.76,0.4741
std,1.33,1.54,1.33,2.41,1.31,3.73,0.66,0.0073,2.57,2.56,5.62,3.85,2.62,7.94,1.31,0.0332
testing,58.8,62.44,56.57,57.38,59.08,50.9,20.46,0.7732,27.7,34.43,4.69,44.0,33.04,2.68,33.48,0.5032
