,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4662,0.0,50.0,0.0,0.5308
split 1,0.0,50.0,0.0,0.5155,0.0,50.0,0.0,0.5004
split 2,0.0,50.0,0.0,0.548,0.0,50.0,0.0,0.5363
split 3,0.0,50.0,0.0,0.4783,0.0,50.0,0.0,0.495
split 4,0.0,50.0,0.0,0.5125,0.0,50.0,0.0,0.5017
split 5,0.0,50.0,0.0,0.5195,0.0,50.0,0.0,0.4873
mean,0.0,50.0,0.0,0.5067,0.0,50.0,0.0,0.5086
std,0.0,0.0,0.0,0.0272,0.0,0.0,0.0,0.0183
test mean,0.0,50.0,0.0,0.4970985221508807,0.0,50.0,0.0,0.49527493666135985
test std,0.0,1.334291761984158e-14,0.0,0.09631584992314861,0.0,1.6280579355608324e-14,0.0,0.07830685927104365
