,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,43.2,48.42,43.55,37.62,43.68,40.82,28.16,0.6168,31.35,35.65,31.19,27.2,31.74,31.51,34.13,0.4944
split 1,41.73,41.34,45.77,38.08,41.97,50.09,29.02,0.6122,35.07,34.88,36.65,33.7,35.16,40.41,32.42,0.5156
split 2,42.49,44.97,43.53,38.96,42.71,42.71,28.64,0.6176,30.66,38.86,27.74,25.4,31.51,26.03,34.25,0.4899
split 3,41.9,46.4,41.94,37.35,42.37,39.97,28.82,0.6119,32.22,40.46,31.11,25.1,33.11,28.77,33.45,0.4852
split 4,43.19,46.85,42.64,40.08,43.55,40.41,28.22,0.6129,34.49,44.51,32.18,26.77,35.63,28.97,32.18,0.5212
mean,42.5,45.6,43.49,38.42,42.86,42.8,28.57,0.6143,32.76,38.87,31.77,27.63,33.43,31.14,33.29,0.5013
std,0.62,2.39,1.29,0.99,0.67,3.76,0.33,0.0024,1.73,3.48,2.86,3.14,1.7,4.95,0.85,0.0144
testing,41.43,52.4,31.2,40.7,43.53,23.73,28.24,0.628,25.98,48.42,19.92,9.61,34.68,13.13,32.66,0.5125
