,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4787,0.0,50.0,0.0,0.5015
split 1,0.0,50.0,0.0,0.4824,0.0,50.0,0.0,0.4834
split 2,0.0,50.0,0.0,0.4827,0.0,50.0,0.0,0.4781
split 3,0.0,50.0,0.0,0.4769,0.0,50.0,0.0,0.4876
split 4,0.0,50.0,0.0,0.4812,0.0,50.0,0.0,0.4715
split 5,0.0,50.0,0.0,0.4916,0.0,50.0,0.0,0.4579
mean,0.0,50.0,0.0,0.4822,0.0,50.0,0.0,0.48
std,0.0,0.0,0.0,0.0046,0.0,0.0,0.0,0.0135
test mean,0.0,50.0,0.0,0.48565157094506095,0.0,50.000000000000014,0.0,0.4765228890341161
test std,0.0,1.529166373896289e-14,0.0,0.0525063607511089,0.0,2.07157025572446e-14,0.0,0.12302874737504008
