,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,85.07,84.63,82.68,0.9119,43.38,61.01,79.19,0.8104
split 1,83.36,82.9,81.16,0.9083,80.85,76.32,67.86,0.8962
split 2,83.91,83.62,82.42,0.9107,70.79,73.56,79.06,0.8283
split 3,75.64,75.85,76.29,0.8231,79.12,76.25,70.59,0.8439
split 4,81.57,80.89,78.76,0.8852,79.9,80.08,80.65,0.8627
split 5,82.21,81.79,80.35,0.8937,79.2,77.43,73.45,0.8648
mean,81.96,81.61,80.28,0.8888,72.21,74.11,75.13,0.8511
std,3.04,2.84,2.21,0.031,13.32,6.17,4.81,0.0276
test mean,81.47833169290656,81.85195312443543,80.91437329138458,0.9113638082285376,70.41569127943961,75.96031476765941,85.95960481067348,0.9156995756698609
test std,11.857005594663738,8.607382421377764,8.638973732102375,0.06306443920559203,16.857565944706973,9.386187347957206,9.197652378771128,0.0482743981567056
