,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,45.66,42.63,47.44,46.92,45.8,50.09,27.1,0.6649,34.27,34.6,35.99,32.21,34.25,35.62,32.88,0.5112
split 1,47.35,48.65,43.98,49.43,47.51,39.79,26.24,0.6667,34.35,35.25,32.06,35.74,34.47,28.77,32.76,0.5217
split 2,48.73,48.12,50.83,47.24,48.77,52.66,25.61,0.6714,32.39,35.99,34.78,26.39,32.42,35.62,33.79,0.5196
split 3,49.12,46.36,48.04,52.96,49.4,45.11,25.3,0.6758,34.71,29.46,35.38,39.3,35.16,33.56,32.42,0.5241
split 4,47.62,48.51,45.37,48.99,47.66,43.66,26.17,0.6717,28.99,27.91,30.5,28.57,28.97,29.66,35.52,0.4881
mean,47.7,46.85,47.13,49.11,47.83,46.26,26.09,0.6701,32.94,32.64,33.74,32.44,33.05,32.64,33.47,0.5129
std,1.21,2.27,2.35,2.16,1.23,4.59,0.62,0.0039,2.13,3.3,2.11,4.68,2.24,2.91,1.12,0.0132
