,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5724,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5138
split 1,25.57,50.27,0.0,26.45,36.01,25.28,35.11,0.0,40.73,0.5678,23.31,44.18,0.0,25.75,32.4,24.31,30.71,0.0,42.23,0.5282
split 2,21.23,49.58,1.65,12.47,34.14,51.79,33.65,82.91,38.81,0.5704,18.9,49.21,4.0,3.48,33.15,33.43,33.14,38.03,29.1,0.5066
split 3,23.01,50.1,0.0,18.91,35.12,25.97,34.25,0.0,43.66,0.5697,21.81,47.01,0.0,18.41,32.9,23.51,32.27,0.0,38.26,0.5302
split 4,17.97,50.09,0.0,3.82,33.65,24.78,33.53,0.0,40.8,0.5677,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.49700000000000005
split 5,17.1,49.99,0.0,1.29,33.35,20.45,33.4,0.0,27.96,0.5632,18.39,50.47,0.0,4.7,34.15,33.0,33.75,0.0,65.25,0.5425
mean,20.26,50.01,0.28,10.49,34.27,26.56,33.88,13.82,31.99,0.5685,19.29,48.48,0.67,8.72,33.21,22.75,32.76,6.34,29.14,0.5197
std,3.29,0.21,0.61,9.74,0.99,12.37,0.63,30.9,15.14,0.0029,2.49,2.23,1.49,9.83,0.53,9.06,1.02,14.17,23.3,0.0154
test mean,18.04303617138409,50.309780803808415,0.0,3.8193277103438703,33.7238370182593,17.178488153061892,33.743284996388745,0.0,17.79217946279692,0.5729702474291214,17.797587748431713,49.96230673402499,0.0,3.430456511270143,33.60150425135421,17.035173633346883,33.42900529104274,0.0,17.676515608997907,0.5311252258047215
test std,2.0592615175785065,0.6514737975900953,0.0,5.913969273812188,0.8208433102263099,9.366016482846828,0.629492349824067,0.0,27.888032361209092,0.042465801765145764,1.5143035221457368,0.12885031204902378,0.0,4.621786662348728,0.3466569316921071,7.683969360893764,0.12492592997955211,0.0,22.928662177796205,0.024649318184076494
