plant,time point,dividing parent cell,parent neighbor,weighted node degree_neighbour,clustering coefficient_neighbour,information centrality_neighbour,betweenness centrality_neighbour,eigenvector centrality_neighbour,page rank_neighbour,katz centrality_neighbour,current flow betweenness centrality_neighbour,communicability betweenness centrality_neighbour,load centrality_neighbour,harmonic centrality_neighbour,size on 2 neighborhood_neighbour,estrada index on 2 neighborhood_neighbour,abs graph density on 2 neighborhood_neighbour,rel graph density on 2 neighborhood_neighbour,avg path length on 2 neighborhood_neighbour,algebraic connectivity on 2 neighborhood_neighbour,weighted node degree_difference,clustering coefficient_difference,information centrality_difference,betweenness centrality_difference,eigenvector centrality_difference,page rank_difference,katz centrality_difference,current flow betweenness centrality_difference,communicability betweenness centrality_difference,load centrality_difference,harmonic centrality_difference,size on 2 neighborhood_difference,estrada index on 2 neighborhood_difference,abs graph density on 2 neighborhood_difference,rel graph density on 2 neighborhood_difference,avg path length on 2 neighborhood_difference,algebraic connectivity on 2 neighborhood_difference
P1,0,700,353,52.149800000000006,0.18844781604141103,0.02949989094000315,0.030721891933055346,0.053042335223652634,0.003193630616122542,0.05856339702210873,0.06241941811084438,0.0514129995782688,0.031278852372424046,7.217546155879795,48.0,240.3462512078166,0.20779220779220778,4.363636363636363,19.42368831168832,5.2262204161571715,-7.293699999999994,0.037698089138238355,-0.001474875281410274,-0.007096177216937092,-0.005018051721263649,-0.0003831484725393035,-0.003262581869793349,-0.008957010712426827,-0.00985175268104578,-0.006570201891618235,-0.2759565265822763,3.0,12.644471238121668,-0.029049897470950103,-0.1363636363636367,0.8822298906357027,-0.8831107108694987
P1,0,700,428,36.579499999999996,0.224924717193756,0.027503559967849513,0.036008006294393956,0.03280290860043836,0.0023545572806068244,0.05168564265383726,0.03470965101469409,0.02556205740422923,0.0365161295278563,7.611711135288839,37.0,182.8631811503469,0.27205882352941174,4.352941176470588,17.328276029411768,7.480116468825059,-22.864000000000004,0.07417499029058333,-0.0034712062535639104,-0.0018100628555984821,-0.025257478344477925,-0.0012222218080550212,-0.010140336238064818,-0.03666677780857712,-0.03570269485508536,-0.0013329247361859795,0.11820845282676817,-8.0,-44.83859881934805,0.03521671826625386,-0.14705882352941213,-1.2131823916408493,1.3707853417983893
P1,0,700,538,51.10810000000001,0.18867827648963872,0.030072758451538128,0.03276718043899155,0.03820786882119337,0.0031450581502805936,0.05810916007927217,0.0620848010912375,0.05474685479575521,0.03277746105707045,7.308854957266635,46.0,230.67274606447438,0.21904761904761907,4.380952380952381,18.846296476190485,5.507712908062715,-8.335399999999993,0.03792854958646605,-0.0009020077698752953,-0.0050508887110008865,-0.019852518123722913,-0.00043172093838125206,-0.0037168188126299045,-0.009291627732033708,-0.006517897463559373,-0.005071593206971828,-0.18464772519543615,1.0,2.970966094779442,-0.017794486215538807,-0.11904761904761862,0.30483805513786777,-0.6016182189639547
P1,0,700,560,34.3452,0.2065811714844532,0.027113368770714113,0.04326999401317041,0.03779619771670517,0.00222905184959976,0.05111468671994995,0.031590328891919116,0.021266453347333715,0.04330352439731006,7.732032619733656,35.0,172.15091589098014,0.2916666666666667,4.375,16.314487083333333,7.638537325364772,-25.098300000000002,0.05583144458128053,-0.0038613974506993103,0.00545192486317797,-0.02026418922821111,-0.0013477272390620856,-0.010711292171952123,-0.03978609993135209,-0.03999829891198087,0.005454470133267782,0.23852993727158456,-10.0,-55.550864078714795,0.054824561403508804,-0.125,-2.2269713377192843,1.5292061983381018
P1,0,700,687,50.08420000000001,0.18564081782307273,0.029010332865080937,0.033785900773164804,0.035873264563525416,0.003147505095812067,0.05803979601861826,0.05966529624177064,0.04757851569469076,0.033845570397228124,7.268487887433065,46.0,229.5217139629108,0.21904761904761907,4.380952380952381,18.823551428571424,5.282606047277985,-9.35929999999999,0.03489109091990006,-0.001964433356332486,-0.004032168376827634,-0.022187122381390867,-0.0004292739928497785,-0.0037861828732838193,-0.011711132581500569,-0.013686236564623824,-0.004003483866814157,-0.225014795029006,1.0,1.8199339932158694,-0.017794486215538807,-0.11904761904761862,0.2820930075188066,-0.8267250797486847
P1,0,700,709,49.90220000000001,0.18545606209351656,0.029982745690546393,0.04651936180793934,0.07305709274662235,0.0029849772831220117,0.05748287675458318,0.0573201908513943,0.04664718266100848,0.04641894047138284,7.3279188897812295,44.0,219.9862323897615,0.23157894736842108,4.4,19.181617894736835,6.3394706775681895,-9.541299999999993,0.034706335190343884,-0.0009920205308670306,0.008701292657946905,0.014996705801706069,-0.0005918018055398339,-0.004343102137318894,-0.014056237971876905,-0.014617569598306103,0.00856988620734056,-0.16558379268084167,-1.0,-7.715547579933428,-0.005263157894736803,-0.09999999999999964,0.6401594736842178,0.23013955054151936
P1,0,700,717,46.6039,0.1781335608755856,0.029845686557510544,0.06408276525255502,0.07278394648553717,0.002819555703914763,0.05681669906807313,0.05026406341155807,0.04502340983337894,0.0639654810399218,7.693866007800245,42.0,210.36156475560722,0.2456140350877193,4.421052631578948,18.382540350877168,5.981661456526357,-12.839599999999997,0.027383833972412924,-0.0011290796639028787,0.02626469610256258,0.014723559540620886,-0.0007572233847470827,-0.005009279823828948,-0.021112365411713137,-0.01624134242593564,0.026116426775879525,0.20036332533817358,-3.0,-17.34021521408772,0.00877192982456143,-0.07894736842105221,-0.15891807017544934,-0.12766967050031308
P1,0,580,439,39.79430000000001,0.23592252756936358,0.02844991840122382,0.030252299455713446,0.07965644934614369,0.002422318638063173,0.05167604402933126,0.038012000625717204,0.026583762343935505,0.02968680498247092,7.35421627476947,37.0,181.63620605048416,0.27205882352941174,4.352941176470588,17.79839191176471,7.482864111931962,-25.68325999999999,0.06680355994435128,-0.004220324117427902,-0.03475308774766857,-0.04879222847810066,-0.001307902006802369,-0.01050324644766503,-0.03998510573470686,-0.054072698810314915,-0.03583391495326556,-0.25140496258355327,-10.0,-55.58035190967411,0.04824929971988792,-0.1232492997198884,-1.9678005834733732,1.1201113176523227
P1,0,580,442,49.2852,0.18529047729816994,0.03072401672042019,0.07005296437333713,0.07222900542189031,0.002961905161615824,0.05744057547496367,0.05724021629618164,0.05416487558635618,0.07025721867153617,7.787785838812135,44.0,219.9862323897622,0.23157894736842108,4.4,18.731303315789457,6.120367095230981,-16.192359999999994,0.01617150967315764,-0.0019462257982315323,0.005047577169955117,-0.05621967240235404,-0.0007683154832497183,-0.004738715002032615,-0.020756890064242424,-0.026491585567894237,0.004736498735799691,0.18216460145911118,-3.0,-17.230325570396076,0.007769423558897259,-0.07619047619047592,-1.0348891794486264,-0.2423856990486577
P1,0,580,449,52.68105,0.1973608735041256,0.030606849263038784,0.04547503266698552,0.12143359335714203,0.00304625332980089,0.05692266090816454,0.05589143101699766,0.05064678954576452,0.045639652066908974,7.347699623914433,42.0,209.17227338057143,0.2456140350877193,4.421052631578948,19.66734734502923,6.7284690394492435,-12.796509999999998,0.028241905879113294,-0.0020633932556129372,-0.019530354536396496,-0.00701508446710232,-0.0006839673150646525,-0.005256629568831751,-0.022105675343426404,-0.030009671608485895,-0.019881067868827505,-0.2579216134385902,-5.0,-28.044284579586844,0.021804511278195493,-0.055137844611528486,-0.09884515020885232,0.36571624516960455
P1,0,580,602,50.5187182,0.1930315126031693,0.031121781322881594,0.04418399334353387,0.11327552034745197,0.0029607584834774924,0.05703400828172075,0.055173998402909805,0.05034839805948867,0.044420124927571865,7.691974695829966,42.0,210.36258180535498,0.2456140350877193,4.421052631578948,19.087784598830403,6.364030662090363,-14.958841799999995,0.023912544978157008,-0.0015484611957701268,-0.020821393859848145,-0.015173157476792376,-0.0007694621613880499,-0.00514528219527554,-0.022823107957514258,-0.03030806309476175,-0.021100595008164615,0.08635345847694254,-5.0,-26.85397615480329,0.021804511278195493,-0.055137844611528486,-0.6784078964076805,0.0012778678107236985
P1,0,580,717,46.6039,0.1781335608755856,0.029845686557510544,0.06408276525255502,0.07278394648553717,0.002819555703914763,0.05681669906807313,0.05026406341155807,0.04502340983337894,0.0639654810399218,7.693866007800245,42.0,210.36156475560722,0.2456140350877193,4.421052631578948,18.382540350877168,5.981661456526357,-18.873659999999994,0.0090145932505733,-0.0028245559611411765,-0.0009226219508269989,-0.05566473133870718,-0.0009106649409507794,-0.005362591408923159,-0.027733042948865992,-0.035633051320871474,-0.001555238895814673,0.08824477044722112,-5.0,-26.85499320455105,0.021804511278195493,-0.055137844611528486,-1.3836521443609158,-0.38109133775328186
P1,0,580,740,49.274300000000004,0.18626350379797973,0.031553851774688974,0.04254777667801214,0.09149783873894965,0.002902654774513262,0.05809940871990235,0.06218896398517004,0.06691271966254,0.04226922857443858,7.85065501500452,46.0,230.76382655358776,0.21904761904761907,4.380952380952381,19.459628270476195,5.6318491239137,-16.203259999999993,0.017144536172967434,-0.0011163907439627474,-0.022457610525369875,-0.0369508390852947,-0.0008275658703522804,-0.004079881757093937,-0.01580814237525402,-0.013743741491710412,-0.0232514913612979,0.24503377765149637,-1.0,-6.452731406570507,-0.004761904761904745,-0.0952380952380949,-0.30656422476188894,-0.7309036703659393
