plant,time point,dividing parent cell,parent neighbor,clustering coefficient,abs graph density on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,abs graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,eigenvector centrality.2,page rank.2,abs graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,weighted node degree.3,clustering coefficient.3,eigenvector centrality.3,page rank.3,abs graph density on 2 neighborhood.3,avg path length on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3,clustering coefficient.1.1,information centrality.1.1,eigenvector centrality.1.1,page rank.1.1,harmonic centrality.1.1,size on 2 neighborhood.1.1,estrada index on 2 neighborhood.1.1,abs graph density on 2 neighborhood.1.1,rel graph density on 2 neighborhood.1.1,avg path length on 2 neighborhood.1.1,algebraic connectivity on 2 neighborhood.1.1,weighted node degree.1.2,clustering coefficient.1.2,information centrality.1.2,eigenvector centrality.1.2,page rank.1.2,current flow betweenness centrality.1.2,size on 2 neighborhood.1.2,estrada index on 2 neighborhood.1.2,abs graph density on 2 neighborhood.1.2,rel graph density on 2 neighborhood.1.2,avg path length on 2 neighborhood.1.2,algebraic connectivity on 2 neighborhood.1.2,weighted node degree.1.3,clustering coefficient.1.3,information centrality.1.3,eigenvector centrality.1.3,page rank.1.3,current flow betweenness centrality.1.3,size on 2 neighborhood.1.3,estrada index on 2 neighborhood.1.3,abs graph density on 2 neighborhood.1.3,rel graph density on 2 neighborhood.1.3,avg path length on 2 neighborhood.1.3,algebraic connectivity on 2 neighborhood.1.3,weighted node degree.1.4,clustering coefficient.1.4,information centrality.1.4,eigenvector centrality.1.4,page rank.1.4,size on 2 neighborhood.1.4,estrada index on 2 neighborhood.1.4,abs graph density on 2 neighborhood.1.4,rel graph density on 2 neighborhood.1.4,avg path length on 2 neighborhood.1.4,algebraic connectivity on 2 neighborhood.1.4
ktnP1,1,3759,3568,-0.2142857142857143,-0.0342324850334004,-0.1518390384518664,0.095110519300038,-0.1037100520761847,6.37866267835052e-06,0.0086831107699183,0.0007627859306921,-0.0342324850334004,0.0024441529198113,-0.0084512916244498,1.675375013779464,-0.0172590306468739,0.0001387077926322,1.3928431902764637e-07,0.001585359703011,-0.0342324850334004,0.0771695730168959,-0.0492321459516299,0.275736251056944,-0.0888733399227328,-2.195090369741624e-05,0.0006149490406344,-0.0342324850334004,0.0086761369202915,-0.0297272487521235,0.5,0.002500939098072,0.0486437195261869,0.001896226898308,68.41787003845874,41.0,204.19517844073863,0.239766081871345,4.315789473684211,2.2748538011695905,0.7825904383236707,0.2125617072916927,0.2291676742827171,9.999709708465296e-05,0.0576610926274716,0.0018044037039276,0.0389356732705603,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.0968337086271779,0.0353639024782719,1.235158607300915,0.0388073618227468,0.0007677136586192,3.976584559504738e-06,0.0012158702592277,0.0245488333761171,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.6434038787237139,0.2411645423250742,0.8160681916972986,0.1975114464011958,0.0003822398060208,0.0002219715983062,0.0019529980965676,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.3373954433593293,0.12831320672088
ktnP1,1,3759,3631,-0.0999999999999999,0.0058479532163742,-0.0317167908367085,0.0609693024145599,-0.0321171824907029,4.406566795397209e-06,-0.0198394436718086,0.0004683640932373,0.0058479532163742,-0.002769766733329,-0.0019543263328684,1.153307966159088,-0.0061709391736137,0.0001167410791666,9.731236794060465e-07,0.0010295391049643,0.0058479532163742,0.0209940339130452,0.006897683079991,0.1149376290157148,-0.0374711274716867,-4.134265915993978e-05,0.0002629724329517,0.0058479532163742,-0.0062920358354016,-0.0131262780185193,0.5,0.002500939098072,0.0486437195261869,0.001896226898308,68.41787003845874,41.0,204.19517844073863,0.239766081871345,4.315789473684211,2.2748538011695905,0.7825904383236707,0.2125617072916927,0.2291676742827171,9.999709708465296e-05,0.0576610926274716,0.0018044037039276,0.0389356732705603,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.0968337086271779,0.0353639024782719,1.235158607300915,0.0388073618227468,0.0007677136586192,3.976584559504738e-06,0.0012158702592277,0.0245488333761171,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.6434038787237139,0.2411645423250742,0.8160681916972986,0.1975114464011958,0.0003822398060208,0.0002219715983062,0.0019529980965676,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.3373954433593293,0.12831320672088
ktnP1,1,3759,3776,-0.1666666666666666,-0.0159565580618212,-0.1002681523854797,0.0879050600866603,-0.0641684559544445,7.084007248736281e-06,0.1073851052242321,0.0005531824547565,-0.0159565580618212,0.0096501347489018,-0.0045509172183598,3.1848901626514654,-0.0062083562511543,0.0001300691006588,1.169991807417048e-05,0.0020858861922415,-0.0159565580618212,0.0826764121257669,-0.011248443524764,0.242758743931856,-0.0626492126914612,0.0001338869244036,0.0004572662125979,-0.0159565580618212,0.0215138996154093,-0.0227725643523659,0.5,0.002500939098072,0.0486437195261869,0.001896226898308,68.41787003845874,41.0,204.19517844073863,0.239766081871345,4.315789473684211,2.2748538011695905,0.7825904383236707,0.2125617072916927,0.2291676742827171,9.999709708465296e-05,0.0576610926274716,0.0018044037039276,0.0389356732705603,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.0968337086271779,0.0353639024782719,1.235158607300915,0.0388073618227468,0.0007677136586192,3.976584559504738e-06,0.0012158702592277,0.0245488333761171,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.6434038787237139,0.2411645423250742,0.8160681916972986,0.1975114464011958,0.0003822398060208,0.0002219715983062,0.0019529980965676,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.3373954433593293,0.12831320672088
ktnP1,1,3759,3848,-0.0999999999999999,0.0058479532163742,0.0460515395357032,0.1053273085331563,-0.0150399437204534,8.902895609584437e-06,-0.0067810599247672,0.0007962128854101,0.0058479532163742,-0.0039101759263511,-0.00020819472055,1.764555715288239,-0.002903502803492,0.000163317792477,5.759582806815722e-06,0.001370180801747,0.0058479532163742,-0.0124714599125047,-0.0009566358916495,0.2210575279692425,-0.0272941606967398,5.901243747542494e-05,0.0004798636005134,0.0058479532163742,-0.0063602366240351,-0.0016641285009144,0.5,0.002500939098072,0.0486437195261869,0.001896226898308,68.41787003845874,41.0,204.19517844073863,0.239766081871345,4.315789473684211,2.2748538011695905,0.7825904383236707,0.2125617072916927,0.2291676742827171,9.999709708465296e-05,0.0576610926274716,0.0018044037039276,0.0389356732705603,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.0968337086271779,0.0353639024782719,1.235158607300915,0.0388073618227468,0.0007677136586192,3.976584559504738e-06,0.0012158702592277,0.0245488333761171,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.6434038787237139,0.2411645423250742,0.8160681916972986,0.1975114464011958,0.0003822398060208,0.0002219715983062,0.0019529980965676,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.3373954433593293,0.12831320672088
ktnP1,1,3759,3858,-0.0999999999999999,-0.0081871345029239,-0.0701593204940584,0.0649259057710607,-0.0365209560523604,7.246145698107623e-06,0.0347226567898199,0.0004453548338592,-0.0081871345029239,0.0072369882770689,-0.0024614306793154,3.712322929475448,-0.0004284454970516,0.0001730325414898,2.1571868676187915e-05,0.0023185783977125,-0.0081871345029239,0.0387064523333549,-0.0176687593524607,0.1220688810969892,-0.0364368636124472,0.0001208965295019,0.0002329844343435,-0.0081871345029239,0.0221196460992915,-0.0137258033259148,0.5,0.002500939098072,0.0486437195261869,0.001896226898308,68.41787003845874,41.0,204.19517844073863,0.239766081871345,4.315789473684211,2.2748538011695905,0.7825904383236707,0.2125617072916927,0.2291676742827171,9.999709708465296e-05,0.0576610926274716,0.0018044037039276,0.0389356732705603,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.0968337086271779,0.0353639024782719,1.235158607300915,0.0388073618227468,0.0007677136586192,3.976584559504738e-06,0.0012158702592277,0.0245488333761171,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.6434038787237139,0.2411645423250742,0.8160681916972986,0.1975114464011958,0.0003822398060208,0.0002219715983062,0.0019529980965676,41.0,204.19517844073863,0.239766081871345,4.315789473684211,0.3373954433593293,0.12831320672088
ktnP1,1,4070,3613,0.1142857142857143,0.0477370963640986,0.2099569205617724,-0.1119169877097253,0.0223034347065356,-1.306630640433871e-05,-0.1310275371214424,-0.0005724945546453,0.0477370963640986,-0.0260809504651927,0.0039197086709139,-1.0931336282155693,0.0064782210594637,-7.404010674961917e-05,-9.896441227479718e-07,-0.0007861417421071,0.0477370963640986,-0.1460258609120168,0.0077675870325391,-0.2440244302499923,0.0372980805045586,-0.0002140352423641,-0.000363495713008,0.0477370963640986,-0.061399665997682,0.0254971957285133,0.2857142857142857,0.0027298179714944,0.0518035508407152,0.0029341602262333,70.76285103785142,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,2.510869565217391,0.5855865465476402,0.3409425258089382,0.1407994628322849,0.000108517333679,0.1805847691045062,0.0027107663792502,0.0785413943810291,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.1126280704574088,0.0267948456624546,4.0813660571613095,0.0266937568701684,0.0009345931191307,1.83011703726848e-06,0.0037177171874071,0.1051586184448739,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.796773306699193,0.1995718888941201,1.164402208041902,0.1148526443141376,0.0004053375952352,0.0004378976291783,0.0026447692821658,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.3806225770932929,0.0906167007624457
ktnP1,1,4070,3630,0.0476190476190476,-0.0053623188405797,-0.0380277628589093,-0.0859169290692601,-0.0057622474527281,-3.7936373190064433e-06,-0.118185547374648,-0.0005109369627907,-0.0053623188405797,-0.0131472164061054,-0.0046617002849714,-1.0001711308890973,0.0017115092745926,-5.078005000082645e-06,-1.4363305393633789e-06,-0.0008120638348467,-0.0053623188405797,-0.081878125889665,-0.0127240653799931,-0.2033930299882032,0.0043578359098537,-4.551467420943554e-05,-0.0003549442707676,-0.0053623188405797,-0.0298806400578958,-0.0075554437062723,0.2857142857142857,0.0027298179714944,0.0518035508407152,0.0029341602262333,70.76285103785142,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,2.510869565217391,0.5855865465476402,0.3409425258089382,0.1407994628322849,0.000108517333679,0.1805847691045062,0.0027107663792502,0.0785413943810291,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.1126280704574088,0.0267948456624546,4.0813660571613095,0.0266937568701684,0.0009345931191307,1.83011703726848e-06,0.0037177171874071,0.1051586184448739,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.796773306699193,0.1995718888941201,1.164402208041902,0.1148526443141376,0.0004053375952352,0.0004378976291783,0.0026447692821658,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.3806225770932929,0.0906167007624457
ktnP1,1,4070,3663,0.1142857142857143,0.0055994729907773,0.0564299372136747,-0.0732615573152357,0.0459641971341776,-9.219340983530292e-07,-0.0662204589820386,-0.0005427257876735,0.0055994729907773,-0.0048869614570359,0.0018883413357882,-1.86104461971512,0.0060861010482457,-2.241278459935096e-05,-9.100852373209004e-07,-0.0016133214119759,0.0055994729907773,-0.046522193254642,0.0007838653069528,-0.2204785439832892,0.044454802238222,7.767865391557536e-05,-0.0004728264455729,0.0055994729907773,-0.0093533829155648,0.0085452079532566,0.2857142857142857,0.0027298179714944,0.0518035508407152,0.0029341602262333,70.76285103785142,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,2.510869565217391,0.5855865465476402,0.3409425258089382,0.1407994628322849,0.000108517333679,0.1805847691045062,0.0027107663792502,0.0785413943810291,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.1126280704574088,0.0267948456624546,4.0813660571613095,0.0266937568701684,0.0009345931191307,1.83011703726848e-06,0.0037177171874071,0.1051586184448739,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.796773306699193,0.1995718888941201,1.164402208041902,0.1148526443141376,0.0004053375952352,0.0004378976291783,0.0026447692821658,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.3806225770932929,0.0906167007624457
ktnP1,1,4070,3894,0.0476190476190476,0.0317805383022774,0.0980310400069544,0.040340758928099,0.0593891647125553,3.2841657898349764e-06,0.0716759704207411,0.0001154044959006,0.0317805383022774,-0.002733061856364,0.0067720584003084,-0.9916180936269612,0.0025811852074194,2.369848448938931e-05,5.369925790494129e-06,-0.0011826565171738,0.0317805383022774,-0.0438779187990761,0.0561588428110577,0.0592744435706245,0.0372516558672094,0.0001819767863883,3.122694829763104e-05,0.0317805383022774,-0.0187550443343171,0.0144718383259272,0.2857142857142857,0.0027298179714944,0.0518035508407152,0.0029341602262333,70.76285103785142,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,2.510869565217391,0.5855865465476402,0.3409425258089382,0.1407994628322849,0.000108517333679,0.1805847691045062,0.0027107663792502,0.0785413943810291,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.1126280704574088,0.0267948456624546,4.0813660571613095,0.0266937568701684,0.0009345931191307,1.83011703726848e-06,0.0037177171874071,0.1051586184448739,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.796773306699193,0.1995718888941201,1.164402208041902,0.1148526443141376,0.0004053375952352,0.0004378976291783,0.0026447692821658,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.3806225770932929,0.0906167007624457
ktnP1,1,4070,3970,0.2142857142857143,0.0726768968456947,0.2851000020944541,-0.0929421293926566,0.108450426110422,-1.3702945657934025e-05,-0.101315433588087,-0.0004851399405018,0.0726768968456947,-0.023968070285449,0.0083211598300387,-2.564776323088588,0.0142572159727382,-0.0001902877946745,-1.5287489959854456e-06,-0.0019782088478474,0.0726768968456947,-0.1627341571621958,0.0294910527729035,-0.2453084897455101,0.0959107312306999,-0.0002207654302055,-0.0003946520869054,0.0726768968456947,-0.0619004737870736,0.0327712380359285,0.2857142857142857,0.0027298179714944,0.0518035508407152,0.0029341602262333,70.76285103785142,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,2.510869565217391,0.5855865465476402,0.3409425258089382,0.1407994628322849,0.000108517333679,0.1805847691045062,0.0027107663792502,0.0785413943810291,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.1126280704574088,0.0267948456624546,4.0813660571613095,0.0266937568701684,0.0009345931191307,1.83011703726848e-06,0.0037177171874071,0.1051586184448739,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.796773306699193,0.1995718888941201,1.164402208041902,0.1148526443141376,0.0004053375952352,0.0004378976291783,0.0026447692821658,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.3806225770932929,0.0906167007624457
