,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.6062,0.0,50.0,0.0,0.5831
split 1,0.0,50.0,0.0,0.6135,0.0,50.0,0.0,0.6055
split 2,0.0,50.0,0.0,0.6184,0.0,50.0,0.0,0.5358
split 3,0.0,50.0,0.0,0.6112,0.0,50.0,0.0,0.4905
split 4,0.0,50.0,0.0,0.6306,0.0,50.0,0.0,0.4585
split 5,0.0,50.0,0.0,0.6315,0.0,50.0,0.0,0.5103
mean,0.0,50.0,0.0,0.6186,0.0,50.0,0.0,0.5306
std,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.051
test mean,0.0,49.99999999999999,0.0,0.616179382590984,0.0,50.00000000000001,0.0,0.48149944428950714
test std,0.0,1.6623791107849736e-14,0.0,0.0866252540065757,0.0,2.1167734743366723e-14,0.0,0.049985142816908794
