,F1,c0 F1,c1 F1,c2 F1,Acc,precision,c0 precision,c1 precision,c2 precision,Auc
train tissue 0,37.51054792271918,51.09427961668829,47.902720076721074,13.534644074748151,42.50383906633907,42.607070685127404,40.126634971408535,46.7706893146356,40.923887769338094,0.6204594017094017
train tissue 1,36.6010778930246,53.02912491946772,33.76088726401327,23.01322149559282,41.549861549861554,45.25305857581776,38.790301612064496,49.13700590234305,47.83186821304573,0.6226757369614513
train tissue 2,29.71417916112198,49.573233185387515,9.580838323353294,29.988465974625132,37.4902874902875,50.616866022508106,35.055528730082095,72.72727272727273,44.06779661016949,0.5777777777777778
train tissue 3,37.60088462532951,48.970109958184906,31.85227928447778,31.980264633325845,40.49789621318375,45.00817319049562,36.61417322834646,54.04195804195804,44.368388301182335,0.6601313596706205
train tissue 4,43.22158118314871,53.48738686693626,20.422832980972505,55.75452370153736,47.33075090718849,48.27630385899513,43.44616154664331,48.94856853306308,52.434181497279,0.6548972530188546
train tissue 5,45.23809523809524,42.857142857142854,50.0,42.857142857142854,44.44444444444443,58.333333333333336,37.5,100.0,37.5,0.5408163265306122
train tissue 6,45.88217338217337,53.33333333333332,31.428571428571427,52.88461538461539,47.34848484848485,46.77164622816796,52.17391304347826,42.30769230769231,45.83333333333333,0.6426611796982167
train tissue 7,45.35838116344715,47.86744400122737,38.91585760517799,49.29184188393608,45.52384552384553,45.89753138055499,42.95154185022025,41.85338264085273,52.887669650591974,0.6281878629744971
train tissue 8,39.51409193053118,48.23648631948396,37.58618077127054,32.719608700839046,40.93952436850572,41.866969067001385,38.83781094527367,44.839117859725214,41.92397839600528,0.6254854883129722
train tissue 9,43.850445278109554,53.48229141906348,30.477056917041,47.59198749822418,46.17191818684356,48.548522158728645,41.67438414521209,48.489234666184174,55.481947664789665,0.6240197404002163
train tissue 10,46.821652283996904,58.398402033775135,44.02834008097167,38.038214737243905,48.63420990286661,50.25451948559756,48.109364571586305,44.7991761071061,57.85501777810029,0.6586229998196295
train tissue 11,46.82903303592958,55.17241379310344,48.95104895104894,36.36363636363637,48.21428571428573,53.40996168582375,53.333333333333336,40.22988505747126,66.66666666666666,0.7202216066481993
train tissue 12,41.036925815558,46.77855982674607,26.997840172786187,49.33437744714174,43.06172839506173,46.328815489161165,36.860068259385656,49.800796812749,52.32558139534884,0.6528851873884594
train tissue 13,36.49336406467796,42.85714285714285,27.38589211618257,39.23705722070846,38.06818181818183,41.25322783160787,35.29411764705881,50.76923076923077,37.696335078534034,0.5836111111111111
train tissue 14,29.034539930019786,43.576972083864234,0.0,43.52664770619512,36.2938596491228,24.223898314766796,35.56437889960294,0.0,37.107316044697434,0.56734404536862
train tissue 15,44.23387715629389,49.77374437477407,38.01289105486562,44.91499603924199,44.888534404663424,45.310867484792105,43.05648413742531,46.50596230285937,46.37015601409164,0.65963400666389
train tissue 16,60.174885675441864,68.96551724137933,58.333333333333336,53.22580645161291,60.00000000000003,60.44146825396825,71.42857142857143,58.333333333333336,51.5625,0.7455862381167949
train tissue 17,41.059536329865026,36.804308797127455,38.996973627323825,47.377326565143804,41.02206736353076,43.22299362929052,32.24960671211325,51.36674259681093,46.05263157894736,0.612085058031004
train tissue 18,40.525772001134506,45.8836443468716,39.503195466055715,36.19047619047619,41.26382876382877,45.12824297329926,37.02391496899912,59.58530374681702,38.77551020408164,0.6601678648048478
train mean,41.61584442476938,50.007449359563154,34.428249444956144,40.4118344697888,43.96039729529085,46.46070892889671,42.11001526477923,50.026597511584455,47.24551401032647,0.6345931707898513
train std,6.684706467842619,6.713871696609423,13.617912042492547,10.649661859147484,5.178875753065313,7.251720128448479,8.865182090860737,17.767684448105292,7.652491279308785,0.04768441011008063
test tissue 0,30.75799638341951,37.79388172816283,16.58359764386044,37.89650977823526,31.865209471766846,30.578013555363082,38.265934804525585,20.336561358945858,33.13154450261781,0.48200659035726673
test tissue 1,33.8684740934875,32.273719970880855,35.724233983286915,33.60746832629472,34.07128933444723,35.01581163005316,38.506079907353794,30.626865671641795,35.914489311163884,0.40547520661157027
test tissue 2,28.52994125431145,44.26559356136821,28.78464818763326,12.53958201393287,30.942760942760938,28.023829232229854,36.78929765886288,30.474040632054177,16.808149405772497,0.4272222222222222
test tissue 3,37.61904761904762,20.0,42.857142857142854,50.000000000000014,38.88888888888889,37.50000000000001,25.0,37.5,50.000000000000014,0.43
test tissue 4,28.12304217765731,36.6224485917367,13.992023816210752,33.75465412502447,30.05620232838218,28.837709052538354,34.77335065685002,23.28908002991773,28.450696470847298,0.4462277777777778
test tissue 5,28.600166379370638,34.22026677840624,20.246489098491068,31.333743261214607,30.03025087362437,32.31225640724116,28.793042660712125,39.293926687407,28.849799873604358,0.4736869539834449
test tissue 6,27.05414615157242,22.377622377622373,11.023622047244094,47.761194029850785,35.41666666666667,43.79433938944508,51.61290322580646,46.666666666666664,33.10344827586211,0.5140817901234568
test tissue 7,32.81484492025286,41.18168389955693,16.438356164383567,40.824494696818086,36.04336043360434,39.56740004023505,32.34338747099775,46.15384615384615,40.20496649586126,0.5938584578240532
test mean,30.920957372389914,33.591902113466766,23.206264224781616,35.96470577892135,33.41432861751768,34.45366991338822,35.760499548138576,34.292623400059924,33.307886791966155,0.47156987486247404
test std,3.3735964019489564,7.992227792469346,10.640245081897556,10.863466113027808,3.01166450552393,5.1899265886289125,7.442760485281775,9.17179671382778,9.005358063364719,0.056547174291538535
