,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5771,0.0,50.0,0.0,0.5258
split 1,0.0,50.0,0.0,0.5898,0.0,50.0,0.0,0.504
split 2,0.0,50.0,0.0,0.5921,0.0,50.0,0.0,0.4471
split 3,0.0,50.0,0.0,0.606,0.0,50.0,0.0,0.4408
split 4,0.0,50.0,0.0,0.5949,0.0,50.0,0.0,0.4283
split 5,0.0,50.0,0.0,0.5803,0.0,50.0,0.0,0.5855
mean,0.0,50.0,0.0,0.59,0.0,50.0,0.0,0.4886
std,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.0558
test mean,0.0,49.99999999999999,0.0,0.5700417287023951,0.0,50.0,0.0,0.5342322201747509
test std,0.0,1.529166373896289e-14,0.0,0.0853862956002538,0.0,1.2560739669470201e-14,0.0,0.0684313887254233
